row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,Tại ngày 31/12/2018,Tại ngày 01/01/2018,numeric__Mã số,numeric__TM,numeric__Tại ngày 31/12/2018,numeric__Tại ngày 01/01/2018
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,5.656.110.562.536,5.380.070.503.022,100.0,,5656110562536.0,5380070503022.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4.1,1.027.290.066.703,1.021.899.574.185,110.0,41.0,1027290066703.0,1021899574185.0
1. Tiền,1. Tiền,1. Tiền,111,,441.182.752.394,407.012.155.621,111.0,,441182752394.0,407012155621.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,586.107.314.309,614.887.418.564,112.0,,586107314309.0,614887418564.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,2.059.440.993.970,1.875.665.000.000,120.0,,2059440993970.0,1875665000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,4.2,2.059.440.993.970,1.875.665.000.000,123.0,42.0,2059440993970.0,1875665000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.502.105.055.185,1.498.253.301.526,130.0,,1502105055185.0,1498253301526.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,4.3,621.261.072.250,646.199.187.390,131.0,43.0,621261072250.0,646199187390.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,4.4,693.748.042.583,756.422.288.304,132.0,44.0,693748042583.0,756422288304.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,,-,15.000.000.000,135.0,,,15000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,4.5,206.061.912.637,115.379.443.458,136.0,45.0,206061912637.0,115379443458.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,4.6,(18.965.972.285),(34.747.617.626),137.0,46.0,-18965972285.0,-34747617626.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,995.200.071.431,831.321.876.810,140.0,,995200071431.0,831321876810.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,4.7,995.200.071.431,831.321.876.810,141.0,47.0,995200071431.0,831321876810.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,72.074.375.247,152.930.750.501,150.0,,72074375247.0,152930750501.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,4.13,21.320.648.779,31.893.141.841,151.0,413.0,21320648779.0,31893141841.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,26.189.322.797,53.106.311.567,152.0,,26189322797.0,53106311567.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,4.16,23.733.331.846,67.230.502.550,153.0,416.0,23733331846.0,67230502550.0
4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,155,,831.071.825,700.794.543,155.0,,831071825.0,700794543.0
