row_label_raw,row_label_full,col_0,Tại ngày 01/01/2018VND,Tại ngày 01/01/2018VND_1,Trong nămVND,Trong nămVND_1,Tại ngày 31/12/2018VND,Tại ngày 31/12/2018VND_1,numeric__Tại ngày 01/01/2018VND,numeric__Tại ngày 01/01/2018VND_1,numeric__Trong nămVND,numeric__Trong nămVND_1,numeric__Tại ngày 31/12/2018VND,numeric__Tại ngày 31/12/2018VND_1
,,,Phải thu,Phải nộp,Phải nộp,Đã nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,571.422.296,5.897.150.071,212.723.660.617,(199.899.683.112),2.284.839.047,20.434.544.327,571422296.0,5897150071.0,212723660617.0,-199899683112.0,2284839047.0,20434544327.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,41.731.371.394,8.686.972.932,158.402.608.547,(103.465.249.811),8.016.258.177,29.909.218.451,41731371394.0,8686972932.0,158402608547.0,-103465249811.0,8016258177.0,29909218451.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,4.359.956.362,24.509.002.617,(24.478.091.189),21.586.678,4.412.454.468,,4359956362.0,24509002617.0,-24478091189.0,21586678.0,4412454468.0
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,35.660.604,311.416.656,(323.039.385),-,24.037.875,,35660604.0,311416656.0,-323039385.0,,24037875.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,1.189.143.894,21.896.875.245,(22.435.782.510),-,650.236.629,,1189143894.0,21896875245.0,-22435782510.0,,650236629.0
"Tiền thuê đất, thuế đấtphi nông nghiệp","Tiền thuê đất, thuế đấtphi nông nghiệp","Tiền thuê đất, thuế đấtphi nông nghiệp",24.918.523.348,432.204.144,53.393.579.384,(41.876.518.468),13.401.462.432,432.204.144,24918523348.0,432204144.0,53393579384.0,-41876518468.0,13401462432.0,432204144.0
"Phí, lệ phí","Phí, lệ phí","Phí, lệ phí",-,12.266.929.717,13.094.650.202,(24.993.517.566),-,368.062.353,,12266929717.0,13094650202.0,-24993517566.0,,368062353.0
Thuế khác,Thuế khác,Thuế khác,9.185.512,3.676.635.401,46.053.832.002,(45.371.583.481),9.185.512,4.358.883.922,9185512.0,3676635401.0,46053832002.0,-45371583481.0,9185512.0,4358883922.0
Cộng,Cộng,Cộng,67.230.502.550,36.544.653.125,530.385.625.270,(462.843.465.522),23.733.331.846,60.589.642.169,67230502550.0,36544653125.0,530385625270.0,-462843465522.0,23733331846.0,60589642169.0
(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),(Xem tiếp trang sau),,,,,,
