row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Cộng VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,,
Tại ngày 01/01/2018,Nguyên giá: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,473.233.379.551,11.460.261.241,11.646.913.027,496.340.553.819,473233379551.0,11460261241.0,11646913027.0,496340553819.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,3.819.597.154,-,3.819.597.154,,3819597154.0,,3819597154.0
Tăng khác,Nguyên giá: > Tăng khác,Tăng khác,617.156.000,-,-,617.156.000,617156000.0,,,617156000.0
Giảm do thoái vốn công ty con,Nguyên giá: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,-,(8.652.070.000),(8.652.070.000),,,-8652070000.0,-8652070000.0
Tại ngày 31/12/2018,Nguyên giá: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,473.850.535.551,15.279.858.395,2.994.843.027,492.125.236.973,473850535551.0,15279858395.0,2994843027.0,492125236973.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,,,
Tại ngày 01/01/2018,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,86.073.751.735,8.159.815.343,3.498.420.458,97.731.987.536,86073751735.0,8159815343.0,3498420458.0,97731987536.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,9.416.124.636,1.323.217.686,204.120.701,10.943.463.023,9416124636.0,1323217686.0,204120701.0,10943463023.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế: > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,-,-,(1.935.700.226),(1.935.700.226),,,-1935700226.0,-1935700226.0
Tại ngày 31/12/2018,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,95.489.876.371,9.483.033.029,1.766.840.933,106.739.750.333,95489876371.0,9483033029.0,1766840933.0,106739750333.0
Tại ngày 01/01/2018,Giá trị hao mòn lũy kế: > Tại ngày 01/01/2018,Tại ngày 01/01/2018,387.159.627.816,3.300.445.898,8.148.492.569,398.608.566.283,387159627816.0,3300445898.0,8148492569.0,398608566283.0
Tại ngày 31/12/2018,Giá trị hao mòn lũy kế: > Tại ngày 31/12/2018,Tại ngày 31/12/2018,378.360.659.180,5.796.825.366,1.228.002.094,385.385.486.640,378360659180.0,5796825366.0,1228002094.0,385385486640.0
