row_label_raw,row_label_full,col_0,Sản xuất và bán thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp,Hoạt động thương mại khác,Loại trừ,Tổng cộng,numeric__Sản xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp,numeric__Hoạt động thương mại khác,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,4.408.976.821.430,531.050.000,17.181.686.032,(3.318.938.119),4.423.370.619.343,4408976821430.0,531050000.0,17181686032.0,-3318938119.0,4423370619343.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận kế toán trước thuế,Kết quả > Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,210.913.666.870,-,471.579.533,-,211.385.246.403,210913666870.0,,471579533.0,,211385246403.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,24.276.845.840,-,103.747.497,-,24.380.593.337,24276845840.0,,103747497.0,,24380593337.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,186.636.821.030,-,367.832.036,-,187.004.653.066,186636821030.0,,367832036.0,,187004653066.0
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,4.320.780.754.423,,,,,4320780754423.0
Tải sản bộ phận,Tải sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,2.476.400.288.599,1.102.738.440.398,351.475.165,-,3.579.490.204.162,2476400288599.0,1102738440398.0,351475165.0,,3579490204162.0
Tải sản không phân bổ (*),Tải sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),,,,,741.290.550.261,,,,,741290550261.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,-,-,2.467.388.761.945,,,,,2467388761945.0
Nợ phải trả bộ phận,Tải sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.329.293.408.619,137.691.538.046,403.815.280,-,2.467.388.761.945,2329293408619.0,137691538046.0,403815280.0,,2467388761945.0
