row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,31.204.888.194,(31.204.888.194),-,,31204888194.0,-31204888194.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,21.010.551.975,59.535.042.104,(50.717.789.269),29.827.804.810,21010551975.0,59535042104.0,-50717789269.0,29827804810.0
Tiền sử dụng đất (*),Phải nộp > Tiền sử dụng đất (*),Tiền sử dụng đất (*),5.677.007.784,931.750.776,(931.750.776),5.677.007.784,5677007784.0,931750776.0,-931750776.0,5677007784.0
Thuế nhập khẩu,Phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,71.095.093.081,(71.095.093.081),-,,71095093081.0,-71095093081.0,
Thuế khác,Phải nộp > Thuế khác,Thuế khác,-,2.406.074.316,(2.406.074.316),-,,2406074316.0,-2406074316.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,26.687.559.759,165.172.848.471,(156.355.595.636),35.504.812.594,26687559759.0,165172848471.0,-156355595636.0,35504812594.0
,,,Số đầu năm,Số kê khai hoàn trong năm,Số đã cản trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.908.137.210,41.909.896.791,(25.997.708.459),26.820.325.542,10908137210.0,41909896791.0,-25997708459.0,26820325542.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,10.908.137.210,41.909.896.791,(25.997.708.459),26.820.325.542,10908137210.0,41909896791.0,-25997708459.0,26820325542.0
