row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm > 276.145.998.349,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"Lãi suất năm > 10% - 11,84%",numeric__Số cuối năm > 276.145.998.349,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 7 năm 2016 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 10% - 11,84%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,276.145.998.349,,,276145998349.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,59.635.062.368216.510.935.981,,,5.963506236821651e+22,,
