row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 627.419.230.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 578.506.359.940 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 178.777.625.213 > 187.004.653.066,Đơn vị tính: VND Tổng cộng > Năm trước: > 1.803.037.207.374 > 187.004.653.066,numeric__Vốn cổ phần đã phát hành > Năm trước: > 627.419.230.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.333.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 578.506.359.940 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 178.777.625.213 > 187.004.653.066,numeric__Đơn vị tính: VND Tổng cộng > Năm trước: > 1.803.037.207.374 > 187.004.653.066
- Trích lập quỹ,- Trích lập quỹ,- Trích lập quỹ,-,-,100.494.197.659,(100.494.197.659),-,,,100494197659.0,-100494197659.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(11.166.021.962),(11.166.021.962),,,,-11166021962.0,-11166021962.0
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,(125.483.846.000),(125.483.846.000),,,,-125483846000.0,-125483846000.0
Số cuối năm,Số cuối năm,Số cuối năm,627.419.230.000,418.333.992.221,679.000.557.599,128.638.212.658,1.853.391.992.478,627419230000.0,418333992221.0,679000557599.0,128638212658.0,1853391992478.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,627.419.230.000,418.333.992.221,679.000.557.599,128.638.212.658,1.853.391.992.478,627419230000.0,418333992221.0,679000557599.0,128638212658.0,1853391992478.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,411.050.533.048,411.050.533.048,,,,411050533048.0,411050533048.0
- Trích lập quỹ (*),Năm nay: > - Trích lập quỹ (*),- Trích lập quỹ (*),-,-,73.984.258.705,(73.984.258.705),-,,,73984258705.0,-73984258705.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(21.999.991.000),(21.999.991.000),,,,-21999991000.0,-21999991000.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),125.480.360.000,-,-,(125.480.360.000),-,125480360000.0,,,-125480360000.0,
- Chia cổ tức bằng tiền (**),Năm nay: > - Chia cổ tức bằng tiền (**),- Chia cổ tức bằng tiền (**),-,-,-,(36.524.267.075),(36.524.267.075),,,,-36524267075.0,-36524267075.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,752.899.590.000,418.333.992.221,752.984.816.304,281.699.868.926,2.205.918.267.451,752899590000.0,418333992221.0,752984816304.0,281699868926.0,2205918267451.0
