row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,numeric__Tên đơn vị,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết
1,1,1,Công ty TNHH Lợn giống hạt nhân Dabaco (*),121.312.447.572,100%,100%,80.297.476.148,100%,100%,,121312447572.0,1.0,1.0,80297476148.0,1.0,1.0
2,2,2,Công ty TNHH MTV Thương mại Hiệp Quang (**),71.283.160.000,100%,100%,42.283.160.000,100%,100%,,71283160000.0,1.0,1.0,42283160000.0,1.0,1.0
3,3,3,Công ty TNHH Chế biến Thực phẩm Dabaco,70.559.337.903,100%,100%,70.559.337.903,100%,100%,,70559337903.0,1.0,1.0,70559337903.0,1.0,1.0
4,4,4,Công ty TNHH Nutreco,50.190.568.966,100%,100%,50.190.568.966,100%,100%,,50190568966.0,1.0,1.0,50190568966.0,1.0,1.0
5,5,5,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.896,100%,100%,30.551.441.896,100%,100%,,30551441896.0,1.0,1.0,30551441896.0,1.0,1.0
6,6,6,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,25.678.384.595,100%,100%,25.678.384.595,100%,100%,,25678384595.0,1.0,1.0,25678384595.0,1.0,1.0
7,7,7,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,20.000.000.000,100%,100%,20.000.000.000,100%,100%,,20000000000.0,1.0,1.0,20000000000.0,1.0,1.0
8,8,8,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,20.000.000.000,100%,100%,20.000.000.000,100%,100%,,20000000000.0,1.0,1.0,20000000000.0,1.0,1.0
9,9,9,Công ty TNHH MTV Dabaco Tây Bắc,20.000.000.000,100%,100%,20.000.000.000,100%,100%,,20000000000.0,1.0,1.0,20000000000.0,1.0,1.0
10,10,10,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,17.016.663.015,100%,100%,17.016.663.015,100%,100%,,17016663015.0,1.0,1.0,17016663015.0,1.0,1.0
11,11,11,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,100%,100%,10.000.000.000,100%,100%,,10000000000.0,1.0,1.0,10000000000.0,1.0,1.0
12,12,12,Công ty TNHH Lợn giống Dabaco (*),,100%,100%,41.014.971.424,100%,100%,,,1.0,1.0,41014971424.0,1.0,1.0
13,13,13,Công ty TNHH MTV Cảng Dabaco Tân Chi,,,100%,,,100%,,,,1.0,,,1.0
14,14,14,Công ty TNHH MTV Bất động sản Dabaco,,,100%,,,100%,,,,1.0,,,1.0
15,15,15,Công ty TNHH Lợn Giống Hải Phòng,,,100%,,,100%,,,,1.0,,,1.0
16,16,16,Công ty TNHH Lợn Giống Hà Nam,,,100%,,,100%,,,,1.0,,,1.0
17,17,17,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,,,100%,,,100%,,,,1.0,,,1.0
18,18,18,Công ty TNHH Lợn giống Phú Thọ,,,100%,,,100%,,,,1.0,,,1.0
19,19,19,Công ty TNHH Lợn giống Dabaco Lương Tài,,,100%,,,100%,,,,1.0,,,1.0
20,20,20,Công ty TNHH Nông nghiệp Công nghệ cao Dabaco,,,100%,,,100%,,,,1.0,,,1.0
21,21,21,Công ty TNHH Xây dựng Đường Kinh Dương Vương 3 và Đường Trường Chinh,,,100%,,,100%,,,,1.0,,,1.0
22,22,22,Công ty TNHH Xây dựng Hồ điều hòa Văn Miếu Bắc Ninh,,,100%,,,100%,,,,1.0,,,1.0
23,23,23,Công ty TNHH Xây dựng Đường từ Đền Đồ đến Đường Vành đai III và TL295B Từ Sơn,,,100%,,,100%,,,,1.0,,,1.0
24,24,24,Công ty TNHH Du lịch và Khách sạn L'Indochina,,,100%,,,100%,,,,1.0,,,1.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,456.592.003.947,,,427.592.003.947,,,,456592003947.0,,,427592003947.0,,
