row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,303.542.595.113,10.715.040.000,314.257.635.113,303542595113.0,10715040000.0,314257635113.0
Thuê thêm trong năm,Nguyên giá: > Thuê thêm trong năm,Thuê thêm trong năm,40.454.450.961,-,40.454.450.961,40454450961.0,,40454450961.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,343.997.046.074,10.715.040.000,354.712.086.074,343997046074.0,10715040000.0,354712086074.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,50.059.600.095,1.562.609.991,51.622.210.086,50059600095.0,1562609991.0,51622210086.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,46.513.733.006,2.678.760.000,49.192.493.006,46513733006.0,2678760000.0,49192493006.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,96.573.333.101,4.241.369.991,100.814.703.092,96573333101.0,4241369991.0,100814703092.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,253.482.995.018,9.152.430.009,262.635.425.027,253482995018.0,9152430009.0,262635425027.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,247.423.712.973,6.473.670.009,253.897.382.982,247423712973.0,6473670009.0,253897382982.0
