row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm(Trình bày lại)
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,61.681.668.721,6.412.851.930,61681668721.0,6412851930.0
Chiết khấu thương mại (*),Chiết khấu thương mại (*),Chiết khấu thương mại (*),80.000.000.000,57.652.734.762,80000000000.0,57652734762.0
Các bên liên quan trả tiền trước(Thuyết minh số 30),Các bên liên quan trả tiền trước(Thuyết minh số 30),Các bên liên quan trả tiền trước(Thuyết minh số 30),116.185.600.764,66.802.210.502,116185600764.0,66802210502.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,257.867.269.485,130.867.797.194,257867269485.0,130867797194.0
