row_label_raw,row_label_full,Bên liên quan,Bán hàng,Mua nguyên vật liệu và dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Lợi nhuận được chia từ công ty con,Đơn vị tính: VNDTiền nhận/(trả) trong năm,numeric__Bán hàng,numeric__Mua nguyên vật liệu và dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lợi nhuận được chia từ công ty con,numeric__Đơn vị tính: VNDTiền nhận/(trả) trong năm
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,61.911.017.400,-,41.484.834.344,8.163.551.970,-,110.431.140.839,61911017400.0,,41484834344.0,8163551970.0,,110431140839.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,95.063.405.250,-,2.602.459.485,-,12.271.585.252,77.638.501.324,95063405250.0,,2602459485.0,,12271585252.0,77638501324.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,39.829.919.000,-,643.723.579,-,14.615.009.644,56.700.376.477,39829919000.0,,643723579.0,,14615009644.0,56700376477.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,72.004.754.400,-,19.091.778.775,7.458.239.657,-,165.210.959.934,72004754400.0,,19091778775.0,7458239657.0,,165210959934.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,578.706.195.200,-,575.895.261,-,53.342.707.980,508.734.975.721,578706195200.0,,575895261.0,,53342707980.0,508734975721.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,204.466.454.900,260.654.283.445,2.970.039.826,1.106.228.581,24.589.263,(62.594.887.181),204466454900.0,260654283445.0,2970039826.0,1106228581.0,24589263.0,-62594887181.0
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,440.523.823.631,-,-,1.716.911.482,27.006.244.852,511.840.592.191,440523823631.0,,,1716911482.0,27006244852.0,511840592191.0
Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,27.596.528.800,-,280.421.932,-,13.175.379.106,57.202.422.512,27596528800.0,,280421932.0,,13175379106.0,57202422512.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,57.303.589,82.360.955.704,1.389.134.954,2.559.167.497,6.515.032.271,(69.043.610.201),57303589.0,82360955704.0,1389134954.0,2559167497.0,6515032271.0,-69043610201.0
Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,-,39.514.444.000,-,-,-,(44.974.852.000),,39514444000.0,,,,-44974852000.0
Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,2.018.330.000,-,130.621.567,-,-,7.327.005.349,2018330000.0,,130621567.0,,,7327005349.0
Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,Công ty TNHH Cảng Dabaco Tân Chi,75.653.281,8.680.981.157,77.619.127,84.455.583,22.974.035,(8.912.071.742),75653281.0,8680981157.0,77619127.0,84455583.0,22974035.0,-8912071742.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,643.040.544,28.354.111.504,-,1.050.003.000,-,(32.849.881.307),643040544.0,28354111504.0,,1050003000.0,,-32849881307.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,35.685.007.294,8.189.093.224,-,-,-,-,35685007294.0,8189093224.0,,,,
Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,160.639.424,2.389.724.883,7.154.105.899,2.417.471.947,-,(29.467.777.645),160639424.0,2389724883.0,7154105899.0,2417471947.0,,-29467777645.0
Tổng cộng,Tổng cộng,Tổng cộng,1.658.742.072.713,430.143.593.917,76.400.634.749,24.556.029.717,126.973.522.403,1.247.242.894.271,1658742072713.0,430143593917.0,76400634749.0,24556029717.0,126973522403.0,1247242894271.0
