row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Phát sinh tăng,Số phát sinh trong năm > Phát sinh giảm,Đơn vị tính: VND > Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Phát sinh tăng,numeric__Số phát sinh trong năm > Phát sinh giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Vay ngắn hạn ngân hàng (Thuyết minh số 20.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng (Thuyết minh số 20.1),Vay ngắn hạn ngân hàng (Thuyết minh số 20.1),1.309.010.471.914,3.925.554.803.146,(3.782.916.601.741),1.451.648.673.319,1309010471914.0,3925554803146.0,-3782916601741.0,1451648673319.0
Vay dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 20.2),Vay dài hạn đến hạn trả(Thuyết minh số 20.2),33.006.582.664,61.242.188.368,(34.613.708.664),59.635.062.368,33006582664.0,61242188368.0,-34613708664.0,59635062368.0
Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 20.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 20.3),Nợ thuê tài chính dài hạn đến hạn trả (Thuyết minh số 20.3),48.048.505.266,54.814.948.839,(48.637.191.332),54.226.262.773,48048505266.0,54814948839.0,-48637191332.0,54226262773.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,300.000.000,200.000.000,-,500.000.000,300000000.0,200000000.0,,500000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.390.365.559.844,4.041.811.940.353,(3.866.167.501.737),1.566.009.998.460,1390365559844.0,4041811940353.0,-3866167501737.0,1566009998460.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay ngân hàng(Thuyết minh số 20.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.2),Vay ngân hàng(Thuyết minh số 20.2),75.901.008.943,205.719.926.061,(65.109.999.023),216.510.935.981,75901008943.0,205719926061.0,-65109999023.0,216510935981.0
Nợ thuê tài chính(Thuyết minh số 20.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 20.3),Nợ thuê tài chính(Thuyết minh số 20.3),138.561.510.258,45.690.788.918,(62.906.264.547),121.346.034.629,138561510258.0,45690788918.0,-62906264547.0,121346034629.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,214.462.519.201,251.410.714.979,(128.016.263.570),337.856.970.610,214462519201.0,251410714979.0,-128016263570.0,337856970610.0
