row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm2015 (đã được trình bàytrước đây),Trình bày lại,Đơn vị tính: VNDNgày 31 tháng 12năm 2015(được trình bày lại),numeric__Ngày 31 tháng 12 năm2015 (đã được trình bàytrước đây),numeric__Trình bày lại,numeric__Đơn vị tính: VNDNgày 31 tháng 12năm 2015(được trình bày lại)
Người mua trả tiềntrước ngắn hạn (*),Người mua trả tiềntrước ngắn hạn (*),Người mua trả tiềntrước ngắn hạn (*),73.215.062.432,57.652.734.762,130.867.797.194,73215062432.0,57652734762.0,130867797194.0
Chi phí phải trả ngắn hạn (*),Chi phí phải trả ngắn hạn (*),Chi phí phải trả ngắn hạn (*),82.914.282.050,(57.652.734.762),25.261.547.288,82914282050.0,-57652734762.0,25261547288.0
