row_label_raw,row_label_full,Bên liên quan,Bán hàng,Mua nguyên vật liệu và dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Lợi nhuận được chia từ công ty con,Tiền nhận/(trả) trong năm,numeric__Bán hàng,numeric__Mua nguyên vật liệu và dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lợi nhuận được chia từ công ty con,numeric__Tiền nhận/(trả) trong năm
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,80.253.271.672,-,32.793.880.119,8.721.828.007,-,110.496.710.799,80253271672.0,,32793880119.0,8721828007.0,,110496710799.0
Công ty TNHH Lợn giống hạt nhận Dabaco,Công ty TNHH Lợn giống hạt nhận Dabaco,Công ty TNHH Lợn giống hạt nhận Dabaco,72.501.541.150,-,2.834.172.174,156.613.483,10.129.724.070,70.064.456.186,72501541150.0,,2834172174.0,156613483.0,10129724070.0,70064456186.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,37.007.138.450,-,2.012.860.515,,8.623.374.999,48.850.390.788,37007138450.0,,2012860515.0,,8623374999.0,48850390788.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển chăn nuôi gia công,207.353.740.000,-,17.822.393.421,5.209.281.978,-,202.064.484.536,207353740000.0,,17822393421.0,5209281978.0,,202064484536.0
Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,Công ty TNHH Đầu tư và Phát triển chăn nuôi lợn Dabaco,588.648.903.605,-,860.154.636,-,-,610.700.307.986,588648903605.0,,860154636.0,,,610700307986.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,170.149.331.900,321.533.831.850,7.395.282.329,2.045.102.374,2.645.049.654,(138.009.234.637),170149331900.0,321533831850.0,7395282329.0,2045102374.0,2645049654.0,-138009234637.0
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,493.980.476.989,-,,2.002.576.000,19.052.481.239,536.833.875.500,493980476989.0,,,2002576000.0,19052481239.0,536833875500.0
Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,59.563.388.100,-,620.955.808,,9.242.611.128,65.469.611.618,59563388100.0,,620955808.0,,9242611128.0,65469611618.0
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,62.834.954,79.100.523.302,744.436.385,3.227.408.992,2.830.116.909,(68.558.175.814),62834954.0,79100523302.0,744436385.0,3227408992.0,2830116909.0,-68558175814.0
Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,-,54.678.876.800,-,-,-,(59.883.657.000),,54678876800.0,,,,-59883657000.0
Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,-,-,360.000.000,-,-,12.400.627.437,,,360000000.0,,,12400627437.0
Công ty TNHH Căng Dabaco Tân Chi,Công ty TNHH Căng Dabaco Tân Chi,Công ty TNHH Căng Dabaco Tân Chi,572.509.330,11.514.956.363,213.922.452,141.843.000,338.896.488,(10.806.300.019),572509330.0,11514956363.0,213922452.0,141843000.0,338896488.0,-10806300019.0
Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,129.073.518,16.825.330.165,-,1.566.669.000,-,(14.154.104.463),129073518.0,16825330165.0,,1566669000.0,,-14154104463.0
Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,Công ty TNHH chế biến Thực phẩm Dabaco,-,-,5.431.429.937,3.332.260.920,-,19.093.741.542,,,5431429937.0,3332260920.0,,19093741542.0
Tổng cộng,Tổng cộng,Tổng cộng,1.710.222.209.668,483.653.518.480,71.089.487.776,26.403.583.754,52.862.254.487,1.384.562.734.459,1710222209668.0,483653518480.0,71089487776.0,26403583754.0,52862254487.0,1384562734459.0
