row_label_raw,row_label_full,Bên liên quan > Phải trả người bán(Thuyết minh số 15),Mối quan hệ > Phải trả người bán(Thuyết minh số 15),Số cuối năm > Phải trả người bán(Thuyết minh số 15),Đơn vị tính: VND > Số đầu năm > Phải trả người bán(Thuyết minh số 15),numeric__Mối quan hệ > Phải trả người bán(Thuyết minh số 15),numeric__Số cuối năm > Phải trả người bán(Thuyết minh số 15),numeric__Đơn vị tính: VND > Số đầu năm > Phải trả người bán(Thuyết minh số 15)
Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty TNHH MTV Thương mại Hiệp Quang,Công ty con,13.077.193.202,10.280.486.010,,13077193202.0,10280486010.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,8.189.093.224,-,,8189093224.0,
Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty TNHH Đầu tư xây dựng và Phát triển hạ tầng Dabaco,Công ty con,1.537.103.417,7.725.916.764,,1537103417.0,7725916764.0
Công ty TNHH Căng Dabaco Tân Chi,Công ty TNHH Căng Dabaco Tân Chi,Công ty TNHH Căng Dabaco Tân Chi,Công ty con,895.126.913,1.386.919.524,,895126913.0,1386919524.0
Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty TNHH Dịch vụ thương mại Bắc Ninh,Công ty con,-,10.507.916.306,,,10507916306.0
,,,,23.698.516.756,29.901.238.604,,23698516756.0,29901238604.0
Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),Người mua trả tiền trước (Thuyết minh số 16),,,
Công ty TNHH Nutreco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,96.002.671.304,53.409.059.078,,96002671304.0,53409059078.0
Công ty TNHH MTV Lợn giống Lạc Vệ,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,13.981.578.115,12.369.853.861,,13981578115.0,12369853861.0
Công ty TNHH MTV Bất động sản Dabaco,Người mua trả tiền trước (Thuyết minh số 16) > Công ty TNHH MTV Bất động sản Dabaco,Công ty TNHH MTV Bất động sản Dabaco,Công ty con,6.201.351.345,1.023.297.563,,6201351345.0,1023297563.0
,,,,116.185.600.764,66.802.210.502,,116185600764.0,66802210502.0
