row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lai),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lai)
300,300,300,C. NỘ PHẢI TRẢ,,2.688.584.663.411,2.467.388.761.945,,,2688584663411.0,2467388761945.0
310,310,310,I. Nợ ngắn hạn,,2.347.222.692.801,2.246.270.242.744,,,2347222692801.0,2246270242744.0
311,311,311,1. Phải trả người bán ngắn hạn,15,185.028.645.681,483.412.907.550,,15.0,185028645681.0,483412907550.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16,257.867.269.485,130.867.797.194,,16.0,257867269485.0,130867797194.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,35.504.812.594,26.687.559.759,,17.0,35504812594.0,26687559759.0
314,314,314,4. Phải trả người lao động,,24.716.075.330,15.313.529.330,,,24716075330.0,15313529330.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,18,32.592.337.684,25.261.547.288,,18.0,32592337684.0,25261547288.0
319,319,319,6. Phải trả ngắn hạn khác,19,231.132.027.984,155.197.710.196,,19.0,231132027984.0,155197710196.0
320,320,320,7. Vay và nợ thuê tài chính ngắn hạn,20,1.566.009.998.460,1.390.365.559.844,,20.0,1566009998460.0,1390365559844.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",21,14.371.525.583,19.163.631.583,,21.0,14371525583.0,19163631583.0
330,330,330,II. Nợ dài hạn,,341.361.970.610,221.118.519.201,,,341361970610.0,221118519201.0
337,337,337,1. Phải trả dài hạn khác,,3.505.000.000,6.656.000.000,,,3505000000.0,6656000000.0
338,338,338,2. Vay và nợ thuê tài chính dài hạn,20,337.856.970.610,214.462.519.201,,20.0,337856970610.0,214462519201.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,2.205.918.267.451,1.853.391.992.478,,,2205918267451.0,1853391992478.0
410,410,410,I. Vốn chủ sở hữu,22,2.205.918.267.451,1.853.391.992.478,,22.0,2205918267451.0,1853391992478.0
411,411,411,1. Vốn cổ phần,22.1,752.899.590.000,627.419.230.000,,221.0,752899590000.0,627419230000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,752.899.590.000,627.419.230.000,,,752899590000.0,627419230000.0
412,412,412,2. Thắng dư vốn cổ phần,22.1,418.333.992.221,418.333.992.221,,221.0,418333992221.0,418333992221.0
418,418,418,3. Quỹ đầu tư phát triển,22.1,752.984.816.304,679.000.557.599,,221.0,752984816304.0,679000557599.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,22.1,281.699.868.926,128.638.212.658,,221.0,281699868926.0,128638212658.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,34.147.125.356,25.866.775.579,,,34147125356.0,25866775579.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,247.552.743.570,102.771.437.079,,,247552743570.0,102771437079.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,4.894.502.930.862,4.320.780.754.423,,,4894502930862.0,4320780754423.0
