row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND Số đầu năm > Phải thu khách hàng (Thuyết minh số 6.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,361.518.412.176,237.628.589.456,,361518412176.0,237628589456.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,191.114.961.020,157.771.148.122,,191114961020.0,157771148122.0
Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty TNHH Nasaco Hà Nam,Công ty con,103.359.668.000,18.690.487.000,,103359668000.0,18690487000.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,62.983.431.433,30.684.482.770,,62983431433.0,30684482770.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,57.180.346.500,-,,57180346500.0,
Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty TNHH MTV Chế biến Thực phẩm Dabaco,Công ty con,52.623.772.048,15.813.502.016,,52623772048.0,15813502016.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,47.872.320.261,46.744.057.386,,47872320261.0,46744057386.0
Công ty TNHH Dịch vụ thương mai Bắc Ninh,Công ty TNHH Dịch vụ thương mai Bắc Ninh,Công ty TNHH Dịch vụ thương mai Bắc Ninh,Công ty con,40.678.959.828,298.300.000,,40678959828.0,298300000.0
Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,15.685.007.294,-,,15685007294.0,
Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty TNHH Lợn giống Dabaco,Công ty con,-,16.150.092.674,,,16150092674.0
Công ty TNHH cáng Dabaco Tân Chi,Công ty TNHH cáng Dabaco Tân Chi,Công ty TNHH cáng Dabaco Tân Chi,Công ty con,-,69.479.480,,,69479480.0
,,,,933.016.878.560,523.850.138.904,,933016878560.0,523850138904.0
Trả trước cho người bán(Thuyết minh số 6.2),Trả trước cho người bán(Thuyết minh số 6.2),Trả trước cho người bán(Thuyết minh số 6.2),Trả trước cho người bán(Thuyết minh số 6.2),Trả trước cho người bán(Thuyết minh số 6.2),Trả trước cho người bán(Thuyết minh số 6.2),,,
Công ty TNHH MTV Dabaco Tây Bắc,Trả trước cho người bán(Thuyết minh số 6.2) > Công ty TNHH MTV Dabaco Tây Bắc,Công ty TNHH MTV Dabaco Tây Bắc,Công ty con,22.866.799.744,22.717.372.744,,22866799744.0,22717372744.0
,,,,22.866.799.744,22.717.372.744,,22866799744.0,22717372744.0
