row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,611.671.515.790,326.269.617.514,75.651.087.283,7.807.247.597,1.021.399.468.184,611671515790.0,326269617514.0,75651087283.0,7807247597.0,1021399468184.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,24.476.285.880,22.797.800.000,418.248.400,47.692.334.280,,24476285880.0,22797800000.0,418248400.0,47692334280.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,257.070.824.459,53.568.552.909,-,-,310.639.377.368,257070824459.0,53568552909.0,,,310639377368.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.056.463.950),(385.835.167),(73.290.527),(2.515.589.644),,-2056463950.0,-385835167.0,-73290527.0,-2515589644.0
Giảm khác (*),Nguyên giá: > Giảm khác (*),Giảm khác (*),(114.302.906.306),(66.996.498.677),(1.624.000.000),(724.948.974),(183.648.353.957),-114302906306.0,-66996498677.0,-1624000000.0,-724948974.0,-183648353957.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,754.439.433.943,335.261.493.676,96.439.052.116,7.427.256.496,1.193.567.236.231,754439433943.0,335261493676.0,96439052116.0,7427256496.0,1193567236231.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,99.581.717.668,172.005.389.973,27.993.765.272,6.011.146.546,305.592.019.459,99581717668.0,172005389973.0,27993765272.0,6011146546.0,305592019459.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,160.766.726.498,179.961.875.921,47.004.890.287,7.645.786.413,395.379.279.119,160766726498.0,179961875921.0,47004890287.0,7645786413.0,395379279119.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,46.845.655.573,27.636.780.549,11.574.364.067,459.247.689,86.516.047.878,46845655573.0,27636780549.0,11574364067.0,459247689.0,86516047878.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.019.718.150),(385.835.167),(73.290.527),(2.478.843.844),,-2019718150.0,-385835167.0,-73290527.0,-2478843844.0
Giảm khác (*),Giá trị khấu hao lũy kế: > Giảm khác (*),Giảm khác (*),(28.506.713.466),(20.100.877.461),(283.518.805),(673.738.870),(49.564.848.602),-28506713466.0,-20100877461.0,-283518805.0,-673738870.0,-49564848602.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,179.105.668.605,185.478.060.859,57.909.900.382,7.358.004.705,429.851.634.551,179105668605.0,185478060859.0,57909900382.0,7358004705.0,429851634551.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,450.904.789.292,146.307.741.593,28.646.196.996,161.461.184,626.020.189.065,450904789292.0,146307741593.0,28646196996.0,161461184.0,626020189065.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,575.333.765.338,149.783.432.817,38.529.151.734,69.251.791,763.715.601.680,575333765338.0,149783432817.0,38529151734.0,69251791.0,763715601680.0
Trong đó:Tài sản sử dụng đề thế chấp (**),Giá trị còn lại: > Trong đó:Tài sản sử dụng đề thế chấp (**),Trong đó:Tài sản sử dụng đề thế chấp (**),357.204.308.755,87.171.164.470,1.144.804.413,-,445.520.277.638,357204308755.0,87171164470.0,1144804413.0,,445520277638.0
