row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,Ghi chú,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh,numeric__Ghi chú
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,,,
Phải thu ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,32.478.573.588,4.150.927.824,36.629.501.412,(i),136.0,32478573588.0,4150927824.0,36629501412.0,
Hàng tồn kho,Bảng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,3.944.541.089.919,(195.823.694.542),3.748.717.395.377,(i),141.0,3944541089919.0,-195823694542.0,3748717395377.0,
Tài sản ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,4.150.927.824,(4.150.927.824),-,(i),155.0,4150927824.0,-4150927824.0,,
Phải thu dài hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu dài hạn khác,Phải thu dài hạn khác,216,459.663.662.617,568.478.140,460.232.140.757,(i),216.0,459663662617.0,568478140.0,460232140757.0,
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Bảng cân đối kế toán hợp nhất > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,-,195.823.694.542,195.823.694.542,(i),241.0,,195823694542.0,195823694542.0,
Tài sản dài hạn khác,Bảng cân đối kế toán hợp nhất > Tài sản dài hạn khác,Tài sản dài hạn khác,268,568.478.140,(568.478.140),-,(i),268.0,568478140.0,-568478140.0,,
Phải trả người bán ngắn hạn,Bảng cân đối kế toán hợp nhất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,595.980.505.967,(349.565.275.500),246.415.230.467,(ii),311.0,595980505967.0,-349565275500.0,246415230467.0,
Chi phí phải trả ngắn hạn,Bảng cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,594.621.815.664,(185.120.066.279),409.501.749.385,(i),315.0,594621815664.0,-185120066279.0,409501749385.0,
Phải trả người bán dài hạn,Bảng cân đối kế toán hợp nhất > Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,-,349.565.275.500,349.565.275.500,(ii),331.0,,349565275500.0,349565275500.0,
Chi phí phải trả dài hạn,Bảng cân đối kế toán hợp nhất > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,-,185.120.066.279,185.120.066.279,(i),333.0,,185120066279.0,185120066279.0,
Qũy đầu tư phát triển,Bảng cân đối kế toán hợp nhất > Qũy đầu tư phát triển,Qũy đầu tư phát triển,418,31.455.436.104,51.654.836.877,83.110.272.981,(i),418.0,31455436104.0,51654836877.0,83110272981.0,
Qũy dự phòng tài chính,Bảng cân đối kế toán hợp nhất > Qũy dự phòng tài chính,Qũy dự phòng tài chính,-,51.654.836.877,(51.654.836.877),-,(i),,51654836877.0,-51654836877.0,,
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,,
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,840,(37),807,(iii),70.0,840.0,-37.0,807.0,
Lãi suy giảm trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,71,-,807,807,(iii),71.0,,807.0,807.0,
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,,,,,
"Tăng, giảm các khoản phải trả","Báo cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,486.527.001.453,4.029.577.813,490.556.579.266,(iv),11.0,486527001453.0,4029577813.0,490556579266.0,
Tiền thu khác từ hoạt động kinh doanh,Báo cáo lưu chuyển tiền tệ hợp nhất > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,99.775.976.253,(98.293.256.814),1.482.719.439,(iv),16.0,99775976253.0,-98293256814.0,1482719439.0,
Tiền chi khác cho hoạt động kinh doanh,Báo cáo lưu chuyển tiền tệ hợp nhất > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(100.502.037.083),94.263.679.001,(6.238.358.082),(iv),17.0,-100502037083.0,94263679001.0,-6238358082.0,
