row_label_raw,row_label_full,col_0,Lĩnh vực bán về cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán về cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,202.749.375.601,758.255.691.713,13.858.087.829,60.711.696.341,-,1.035.574.851.484,202749375601.0,758255691713.0,13858087829.0,60711696341.0,,1035574851484.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,202.749.375.601,758.255.691.713,13.858.087.829,60.711.696.341,-,1.035.574.851.484,202749375601.0,758255691713.0,13858087829.0,60711696341.0,,1035574851484.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,135.384.501.646,151.907.786.462,(1.635.824.470),8.588.376.008,-,294.244.839.646,135384501646.0,151907786462.0,-1635824470.0,8588376008.0,,294244839646.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,-,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,294.244.839.646,,,,,,294244839646.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,2.366.280.016,,,,,,2366280016.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,(14.727.595.669),,,,,,-14727595669.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,2.431.633.745,,,,,,2431633745.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,(5.856.828.374),,,,,,-5856828374.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(48.013.185.335),,,,,,-48013185335.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,-,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,230.445.144.029,,,,,,230445144029.0
Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh đề mua tài sản cố định và các tài sản dài hạn khác,6.430.833.980,4.079.713.552,10.355.566.994,2.351.898.708,-,23.218.013.234,6430833980.0,4079713552.0,10355566994.0,2351898708.0,,23218013234.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,33.859.137.078,2.228.866.733,3.970.244.957,8.600.652.954,-,48.658.901.722,33859137078.0,2228866733.0,3970244957.0,8600652954.0,,48658901722.0
Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),Tổng giá trị các khoản chi phí lớn không bằng tiền (trừ chi phí khấu hao và phân bổ chi phí trả trước dài hạn),-,-,-,-,-,-,,,,,,
