row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,30.000.000.000,,30.000.000.000,,30000000000.0,,30000000000.0,
Tổng Công ty đầu tư và phát triển công nghiệp -TNHH một thành viên - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,Tổng Công ty đầu tư và phát triển công nghiệp -TNHH một thành viên - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,Tổng Công ty đầu tư và phát triển công nghiệp -TNHH một thành viên - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,30.000.000.000,,30.000.000.000,,30000000000.0,,30000000000.0,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,3.912.484.840,,6.629.501.412,,3912484840.0,,6629501412.0,
Lãi tiền gửi dự thu,Lãi tiền gửi dự thu,Lãi tiền gửi dự thu,51.930.962,,327.954.415,,51930962.0,,327954415.0,
Tiền ứng để thi công hệ thống cấp nước,Tiền ứng để thi công hệ thống cấp nước,Tiền ứng để thi công hệ thống cấp nước,621.950.000,,621.950.000,,621950000.0,,621950000.0,
"Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower","Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower","Chi hộ cho Ban quản lý tòa nhà chung cư New Horizon, tòa nhà Becamex Tower",82.003.520,,705.818.255,,82003520.0,,705818255.0,
Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ New Horizon,Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ New Horizon,Phải thu tiền chi hộ làm số cho khách hàng mua căn hộ New Horizon,15.710.322,,15.710.322,,15710322.0,,15710322.0,
Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,130.064.214,,515.495.577,,130064214.0,,515495577.0,
Tạm ứng công tác,Tạm ứng công tác,Tạm ứng công tác,2.068.623.948,,1.706.836.824,,2068623948.0,,1706836824.0,
Tạm ứng để đặt cọc môi giới bất động sản,Tạm ứng để đặt cọc môi giới bất động sản,Tạm ứng để đặt cọc môi giới bất động sản,,-,2.130.091.000,,,,2130091000.0,
"Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn",261.000.000,,314.000.000,,261000000.0,,314000000.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,681.201.874,,291.645.019,,681201874.0,,291645019.0,
Cộng,Cộng,Cộng,33.912.484.840,,36.629.501.412,,33912484840.0,,36629501412.0,
