row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,542.566.559.385,5.746.809.710.485,174.285.075.621,624.955.652.572,-,7.088.616.998.063,542566559385.0,5746809710485.0,174285075621.0,624955652572.0,,7088616998063.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,242.093.072.951,,,,,,242093072951.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,7.330.710.071.014,,,,,,7330710071014.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,41.200.000.000,3.288.105.877.041,207.525.030.357,154.476.287.341,-,3.691.307.194.739,41200000000.0,3288105877041.0,207525030357.0,154476287341.0,,3691307194739.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,681.147.661.570,,,,,,681147661570.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,4.372.454.856.309,,,,,,4372454856309.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,562.807.856.556,5.262.406.007.856,204.354.295.324,541.765.356.105,-,6.571.333.515.841,562807856556.0,5262406007856.0,204354295324.0,541765356105.0,,6571333515841.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,159.165.983.138,,,,,,159165983138.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,6.730.499.498.979,,,,,,6730499498979.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,55.505.982.907,2.589.492.104.441,209.330.688.535,189.131.632.159,-,3.043.460.408.042,55505982907.0,2589492104441.0,209330688535.0,189131632159.0,,3043460408042.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,620.783.819.866,,,,,,620783819866.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,3.664.244.227.908,,,,,,3664244227908.0
