row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,701.767.034.129,1.049.170.281.693,,1.0,,701767034129.0,1049170281693.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,15.613.857.248,13.595.430.209,,2.0,,15613857248.0,13595430209.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,686.153.176.881,1.035.574.851.484,,10.0,,686153176881.0,1035574851484.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,413.046.994.118,641.228.064.136,,11.0,,413046994118.0,641228064136.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,273.106.182.763,394.346.787.348,,20.0,,273106182763.0,394346787348.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,3.120.304.388,2.366.280.016,,21.0,,3120304388.0,2366280016.0
7.,7.,7.,Chi phí tài chính,22,VI.5,84.157.569.660,51.487.822.371,,22.0,,84157569660.0,51487822371.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,71.090.537.415,38.400.512.953,,23.0,,71090537415.0,38400512953.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,-,-,,24.0,,,
9.,9.,9.,Chi phí bán hàng,25,VI.6,37.250.636.270,40.285.667.853,,25.0,,37250636270.0,40285667853.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.7,23.648.143.477,23.056.053.147,,26.0,,23648143477.0,23056053147.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,131.170.137.744,281.883.523.993,,30.0,,131170137744.0,281883523993.0
12.,12.,12.,Thu nhập khác,31,VI.8,16.821.673.019,2.431.633.745,,31.0,,16821673019.0,2431633745.0
13.,13.,13.,Chi phí khác,32,VI.9,248.905.896,5.856.828.374,,32.0,,248905896.0,5856828374.0
14.,14.,14.,Lợi nhuận khác,40,,16.572.767.123,(3.425.194.629),,40.0,,16572767123.0,-3425194629.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,147.742.904.867,278.458.329.364,,50.0,,147742904867.0,278458329364.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.25,25.721.765.732,48.013.185.335,,51.0,,25721765732.0,48013185335.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,122.021.139.135,230.445.144.029,,60.0,,122021139135.0,230445144029.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,122.021.139.135,230.445.144.029,,61.0,,122021139135.0,230445144029.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,-,-,,62.0,,,
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.10,418,807,,70.0,,418.0,807.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.10,418,807,,71.0,,418.0,807.0
