row_label_raw,row_label_full,Số cuối năm,Từ 01 năm trở xuống > Số cuối năm,Trên 01 năm đến 05 năm > Số cuối năm,Trên 05 năm > Số cuối năm,Cộng > Số cuối năm,numeric__Từ 01 năm trở xuống > Số cuối năm,numeric__Trên 01 năm đến 05 năm > Số cuối năm,numeric__Trên 05 năm > Số cuối năm,numeric__Cộng > Số cuối năm
Vay và nợ,Vay và nợ,Vay và nợ,534.923.818.822,1.875.753.664.352,-,2.410.677.483.174,534923818822.0,1875753664352.0,,2410677483174.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,1.098.434.402.376,403.982.110.500,-,1.502.416.512.876,1098434402376.0,403982110500.0,,1502416512876.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,786.919.485.272,185.333.981.715,-,972.253.466.987,786919485272.0,185333981715.0,,972253466987.0
Cộng,Cộng,Cộng,2.420.277.706.470,2.465.069.756.567,-,4.885.347.463.037,2420277706470.0,2465069756567.0,,4885347463037.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Vay và nợ,Số đầu năm > Vay và nợ,Vay và nợ,918.697.596.741,1.777.887.022.009,-,2.696.584.618.750,918697596741.0,1777887022009.0,,2696584618750.0
Phải trả người bán,Số đầu năm > Phải trả người bán,Phải trả người bán,246.415.230.467,349.565.275.500,-,595.980.505.967,246415230467.0,349565275500.0,,595980505967.0
Các khoản phải trả khác,Số đầu năm > Các khoản phải trả khác,Các khoản phải trả khác,979.139.061.782,2.370.911.118,-,981.509.972.900,979139061782.0,2370911118.0,,981509972900.0
Cộng,Số đầu năm > Cộng,Cộng,2.144.251.888.990,2.129.823.208.627,-,4.274.075.097.617,2144251888990.0,2129823208627.0,,4274075097617.0
