row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.741.945.250.000,10.420.226.000,81.606.382.163,173.726.955.082,3.006.867.287.508,2741945250000.0,10420226000.0,81606382163.0,173726955082.0,3006867287508.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,230.445.144.029,230.445.144.029,,,,230445144029.0,230445144029.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,1.621.921.632,(8.875.862.021),(7.253.940.389),,,1621921632.0,-8875862021.0,-7253940389.0
Chỉ quỹ trong năm,Chỉ quỹ trong năm,Chỉ quỹ trong năm,-,-,(118.030.814),-,-,,,-118030814.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(164.516.715.000),(164.516.715.000),,,,-164516715000.0,-164516715000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.945.250.000,10.420.226.000,83.110.272.981,230.779.522.090,3.066.255.271.071,2741945250000.0,10420226000.0,83110272981.0,230779522090.0,3066255271071.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.945.250.000,10.420.226.000,83.110.272.981,230.779.522.090,3.066.255.271.071,2741945250000.0,10420226000.0,83110272981.0,230779522090.0,3066255271071.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,122.021.139.135,122.021.139.135,,,,122021139135.0,122021139135.0
Trích lập các quỹ trong năm này,Trích lập các quỹ trong năm này,Trích lập các quỹ trong năm này,-,-,2.561.755.226,(13.227.330.727),(10.665.575.501),,,2561755226.0,-13227330727.0,-10665575501.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(219.355.620.000),(219.355.620.000),,,,-219355620000.0,-219355620000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.741.945.250.000,10.420.226.000,85.672.028.207,120.217.710.498,2.958.255.214.705,2741945250000.0,10420226000.0,85672028207.0,120217710498.0,2958255214705.0
