row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,147.742.904.867,278.458.329.364,,1.0,,147742904867.0,278458329364.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bắt động sản đầu tư,02,"V.9, V.10, V.11",36.749.010.267,36.721.373.505,,2.0,,36749010267.0,36721373505.0
-,2. > -,-,Các khoản dự phòng,03,,-,-,,3.0,,,
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hồi doái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ",04,,(3.500.895),-,,4.0,,-3500895.0,
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,VI.4,(2.755.231.979),(2.574.281.879),,5.0,,-2755231979.0,-2574281879.0
-,2. > -,-,Chi phí lãi vay,06,VI.5,71.090.537.415,38.400.512.953,,6.0,,71090537415.0,38400512953.0
-,2. > -,-,Các khoản điều chỉnh khác,07,,-,-,,7.0,,,
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanhtrước thay đổi vốn lưu động,08,,252.823.719.675,351.005.933.943,,8.0,,252823719675.0,351005933943.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(864.773.542),(530.683.370.403),,9.0,,-864773542.0,-530683370403.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,(511.772.989.105),(1.290.013.638.209),,10.0,,-511772989105.0,-1290013638209.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,740.628.678.958,490.556.579.266,,11.0,,740628678958.0,490556579266.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(8.554.655.756),13.057.696.782,,12.0,,-8554655756.0,13057696782.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,-,-,,13.0,,,
-,2. > -,-,Tiền lãi vay đã trả,14,V.18; VI.5; VIII.3,(215.234.982.589),(75.485.689.726),,14.0,,-215234982589.0,-75485689726.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,V.16,(57.592.986.369),(16.311.697.115),,15.0,,-57592986369.0,-16311697115.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,1.482.719.439,,16.0,,,1482719439.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(7.620.354.810),(6.238.358.082),,17.0,,-7620354810.0,-6238358082.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,191.811.656.462,(1.062.629.824.105),,20.0,,191811656462.0,-1062629824105.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng tài sản cố định vàcác tài sản dài hạn khác",21,"V.9, VII",(7.076.528.108),(6.796.861.830),,21.0,,-7076528108.0,-6796861830.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định vàcác tài sản dài hạn khác",22,,-,1.875.585.254,,22.0,,,1875585254.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ củadơn vị khác",23,V.2,(200.000.000),-,,23.0,,-200000000.0,
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ củadơn vị khác",24,,-,-,,24.0,,,
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,-,(1.300.000.000),,25.0,,,-1300000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.5; VI.4,3.031.255.432,1.854.352.159,,27.0,,3031255432.0,1854352159.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(4.245.272.676),(4.366.924.417),,30.0,,-4245272676.0,-4366924417.0
