row_label_raw,row_label_full,col_0,Phần mềm máy tính,Chi phí nghiên cứu và triển khai,Cộng,numeric__Phần mềm máy tính,numeric__Chi phí nghiên cứu và triển khai,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.943.480.685,412.500.000,5.355.980.685,4943480685.0,412500000.0,5355980685.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,4.943.480.685,412.500.000,5.355.980.685,4943480685.0,412500000.0,5355980685.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vấn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vấn còn sử dụng,Đã khấu hao hết nhưng vấn còn sử dụng,1.850.394.021,-,1.850.394.021,1850394021.0,,1850394021.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,2.280.929.603,20.625.000,2.301.554.603,2280929603.0,20625000.0,2301554603.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,507.354.560,41.250.000,548.604.560,507354560.0,41250000.0,548604560.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,2.788.284.163,61.875.000,2.850.159.163,2788284163.0,61875000.0,2850159163.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.662.551.082,391.875.000,3.054.426.082,2662551082.0,391875000.0,3054426082.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.155.196.522,350.625.000,2.505.821.522,2155196522.0,350625000.0,2505821522.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,,,
