row_label_raw,row_label_full,Quá hạn,2024 > Giá trị gốc VND,2024 > Giá trị có thể thu hồi VND,2024 > Dự phòng VND,2023 > Giá trị gốc VND,2023 > Giá trị có thể thu hồi VND,2023 > Dự phòng VND,numeric__2024 > Giá trị gốc VND,numeric__2024 > Giá trị có thể thu hồi VND,numeric__2024 > Dự phòng VND,numeric__2023 > Giá trị gốc VND,numeric__2023 > Giá trị có thể thu hồi VND,numeric__2023 > Dự phòng VND
Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,Tổng Công ty Tư vấn,,,,,,,,,,,,
Thiết kế Đầu khí – CTCP,Tổng Công ty Tư vấn > Thiết kế Đầu khí – CTCP,Thiết kế Đầu khí – CTCP,91.969.194.060,11.588.587.912,80.380.606.148,92.522.399.574,12.141.793.426,80.380.606.148,91969194060.0,11588587912.0,80380606148.0,92522399574.0,12141793426.0,80380606148.0
Trên 3 năm,Tổng Công ty Tư vấn > Trên 3 năm,Trên 3 năm,78.033.841.771,-,78.033.841.771,74.709.484.775,-,74.709.484.775,78033841771.0,,78033841771.0,74709484775.0,,74709484775.0
Từ 2 năm đến 3 năm,Tổng Công ty Tư vấn > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,4.754.289.870,2.407.525.493,2.346.764.377,9.873.118.016,4.201.996.643,5.671.121.373,4754289870.0,2407525493.0,2346764377.0,9873118016.0,4201996643.0,5671121373.0
Từ 1 năm đến 2 năm,Tổng Công ty Tư vấn > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,6.560.157.043,6.560.157.043,-,4.754.289.870,4.754.289.870,-,6560157043.0,6560157043.0,,4754289870.0,4754289870.0,
Từ 6 tháng đến 1 năm,Tổng Công ty Tư vấn > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,2.620.905.376,2.620.905.376,-,3.185.506.913,3.185.506.913,-,2620905376.0,2620905376.0,,3185506913.0,3185506913.0,
Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,Chi nhánh Tổng Công ty Điện lực,,,,,,,,,,,,
Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực > Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,164.908.821.665,27.659.683.764,137.249.137.901,448.713.834.781,246.073.305.492,202.640.529.289,164908821665.0,27659683764.0,137249137901.0,448713834781.0,246073305492.0,202640529289.0
Trên 3 năm,Chi nhánh Tổng Công ty Điện lực > Trên 3 năm,Trên 3 năm,104.516.208.832,-,104.516.208.832,77.755.425.014,-,77.755.425.014,104516208832.0,,104516208832.0,77755425014.0,,77755425014.0
Từ 2 năm đến 3 năm,Chi nhánh Tổng Công ty Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,14.466.339.083,4.339.901.725,10.126.437.358,26.647.345.500,7.914.796.827,18.732.548.673,14466339083.0,4339901725.0,10126437358.0,26647345500.0,7914796827.0,18732548673.0
Từ 1 năm đến 2 năm,Chi nhánh Tổng Công ty Điện lực > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,44.143.047.927,22.071.523.963,22.071.523.964,14.579.777.401,7.346.607.859,7.233.169.542,44143047927.0,22071523963.0,22071523964.0,14579777401.0,7346607859.0,7233169542.0
Từ 6 tháng đến 1 năm,Chi nhánh Tổng Công ty Điện lực > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,1.783.225.823,1.248.258.076,534.967.747,329.731.286.866,230.811.900.806,98.919.386.060,1783225823.0,1248258076.0,534967747.0,329731286866.0,230811900806.0,98919386060.0
Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,Công ty Cổ phần Điện lực,,,,,,,,,,,,
Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực > Dầu khí Nhơn Trạch 2,Dầu khí Nhơn Trạch 2,2.689.910.679.990,1.469.652.393.791,1.220.258.286.199,412.418.756.815,111.316.011.734,301.102.745.081,2689910679990.0,1469652393791.0,1220258286199.0,412418756815.0,111316011734.0,301102745081.0
Trên 3 năm,Công ty Cổ phần Điện lực > Trên 3 năm,Trên 3 năm,268.172.561.112,-,268.172.561.112,178.220.922.875,-,178.220.922.875,268172561112.0,,268172561112.0,178220922875.0,,178220922875.0
Từ 2 năm đến 3 năm,Công ty Cổ phần Điện lực > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,92.736.100.660,27.820.830.198,64.915.270.462,89.951.638.237,26.985.491.471,62.966.146.766,92736100660.0,27820830198.0,64915270462.0,89951638237.0,26985491471.0,62966146766.0
Từ 1 năm đến 2 năm,Công ty Cổ phần Điện lực > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,942.349.245.797,471.174.622.898,471.174.622.899,83.209.083.645,41.604.541.822,41.604.541.823,942349245797.0,471174622898.0,471174622899.0,83209083645.0,41604541822.0,41604541823.0
Từ 6 tháng đến 1 năm,Công ty Cổ phần Điện lực > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,1.386.652.772.421,970.656.940.695,415.995.831.726,61.037.112.058,42.725.978.441,18.311.133.617,1386652772421.0,970656940695.0,415995831726.0,61037112058.0,42725978441.0,18311133617.0
