row_label_raw,row_label_full,Mãsô,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsô,Mãsô,Mãsô,,Thuyếtminh,2024VND,2023VND,,,,
01,Mãsô > 01,01,Doanh thu bán hàng và cung cấp dịch vụ,,103.603.614.927.247,90.014.136.902.542,,,103603614927247.0,90014136902542.0
02,Mãsô > 02,02,Các khoản giảm trừ doanh thu,,39.488.364.359,60.230.389.217,,,39488364359.0,60230389217.0
10,Mãsô > 10,10,Doanh thu thuần về bán hàng vàcung cấp dịch vụ (10 = 01 - 02),25,103.564.126.562.888,89.953.906.513.325,,25.0,103564126562888.0,89953906513325.0
11,Mãsô > 11,11,Giá vốn hàng bán và dịch vụ cung cấp,26,85.909.769.124.140,73.028.985.057.627,,26.0,85909769124140.0,73028985057627.0
20,Mãsô > 20,20,Lợi nhuận gộp về bán hàng vàcung cấp dịch vụ (20 = 10 - 11),,17.654.357.438.748,16.924.921.455.698,,,17654357438748.0,16924921455698.0
21,Mãsô > 21,21,Doanh thu hoạt động tài chính,27,1.736.612.351.244,2.272.915.648.323,,27.0,1736612351244.0,2272915648323.0
22,Mãsô > 22,22,Chi phí tài chính,28,660.047.745.399,586.713.077.889,,28.0,660047745399.0,586713077889.0
23,Mãsô > 23,23,- Trong đó: Chi phí lãi vay,28,318.596.953.375,339.976.056.558,,28.0,318596953375.0,339976056558.0
24,Mãsô > 24,24,Phần lãi trong công ty liên kết,,37.806.658.350,26.727.700.788,,,37806658350.0,26727700788.0
25,Mãsô > 25,25,Chi phí bán hàng,29,2.415.289.067.133,2.543.871.863.091,,29.0,2415289067133.0,2543871863091.0
26,Mãsô > 26,26,Chi phí quản lý doanh nghiệp,30,3.197.034.309.940,1.474.856.883.595,,30.0,3197034309940.0,1474856883595.0
30,Mãsô > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh(30 = 20 + 21 - 22 + 24 - 25 - 26),,13.156.405.325.870,14.619.122.980.234,,,13156405325870.0,14619122980234.0
31,Mãsô > 31,31,Thu nhập khác,,41.606.598.391,33.550.256.202,,,41606598391.0,33550256202.0
32,Mãsô > 32,32,Chi phí khác,,25.904.427.886,13.131.027.226,,,25904427886.0,13131027226.0
40,Mãsô > 40,40,Lợi nhuận khác (40 = 31 - 32),,15.702.170.505,20.419.228.976,,,15702170505.0,20419228976.0
50,Mãsô > 50,50,Tổng lợi nhuận kế toán trước thuế(50 = 30 + 40),,13.172.107.496.375,14.639.542.209.210,,,13172107496375.0,14639542209210.0
51,Mãsô > 51,51,"Chi phí thuê thu nhập doanh nghiệp(""TNDN"") hiện hành",31,2.561.813.069.323,2.812.599.931.853,,31.0,2561813069323.0,2812599931853.0
52,Mãsô > 52,52,Chi phí thuê TNDN hoãn lại,31,20.173.841.542,33.846.797.814,,31.0,20173841542.0,33846797814.0
60,Mãsô > 60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,10.590.120.585.510,11.793.095.479.543,,,10590120585510.0,11793095479543.0
,,,Phân bổ cho:,,,,,,,
61,Mãsô > 61,61,Chủ sở hữu của Tổng Công ty Khí Việt Nam- Công ty Cổ phần,,10.398.370.049.725,11.606.030.646.959,,,10398370049725.0,11606030646959.0
62,Mãsô > 62,62,Cổ đông không kiểm soát,,191.750.535.785,187.064.832.584,,,191750535785.0,187064832584.0
70,Mãsô > 70,70,Lãi cơ bản trên cổ phiếu,23(a),4.354,4.787,,,4354.0,4787.0
71,Mãsô > 71,71,Lãi suy giảm trên cổ phiếu,23(b),4.354,4.787,,,4354.0,4787.0
Đăng Thị Hồng YếnNgười lập,Đăng Thị Hồng YếnNgười lập,Đăng Thị Hồng YếnNgười lập,,Nguyễn Anh TuấnPhó Ban Kế toánphụ trách kế toán,Phạm-văn PhongTổng Giám đốcNgày 20 tháng 2 năm 2025,Phạm-văn PhongTổng Giám đốcNgày 20 tháng 2 năm 2025,,,,
