row_label_raw,row_label_full,Công ty mẹTập đoàn Dầu khí Việt Nam > Công ty liên kếtCông ty Cổ phần Kinh doanh Khí Miền Nam > Các công ty thành viên thuộc Tập đoànCông ty Cổ phần Lộc hóa dầu Bình SơnTổng Công ty Cổ phần Dịch vụ Kỹ thuậtDầu khí Việt Nam,20.628.125.858.955 > 2.480.900.277 > 4.153.568.690.359 > 886.210.627.758,21.683.988.941.057 > 2.961.332.283 > 4.950.329.470.301 > 1.113.133.688.364,numeric__20.628.125.858.955 > 2.480.900.277 > 4.153.568.690.359 > 886.210.627.758,numeric__21.683.988.941.057 > 2.961.332.283 > 4.950.329.470.301 > 1.113.133.688.364
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,506.775.554.781,586.580.301.009,506775554781.0,586580301009.0
Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,Tổng Công ty Thăm dò Khai thác Dầu khí,406.537.204.073,475.093.103.443,406537204073.0,475093103443.0
Liễn doanh Việt - Nga Vietsovpetro,Liễn doanh Việt - Nga Vietsovpetro,Liễn doanh Việt - Nga Vietsovpetro,381.701.312.652,499.114.650.787,381701312652.0,499114650787.0
Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,176.512.679.128,162.331.246.840,176512679128.0,162331246840.0
Tổng Công ty Cổ phần Dịch vụ Tổng hợpDầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợpDầu khí,Tổng Công ty Cổ phần Dịch vụ Tổng hợpDầu khí,79.390.657.339,64.179.928.286,79390657339.0,64179928286.0
Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,75.467.023.351,23.968.972.141,75467023351.0,23968972141.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,17.859.305.413,-,17859305413.0,
Tổng Công ty Phân bón và Hóa chất Dầu khí- CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí- CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí- CTCP,11.396.238.166,23.062.767.685,11396238166.0,23062767685.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,8.395.030.355,11.641.284.826,8395030355.0,11641284826.0
Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,6.411.902.860,38.248.153.000,6411902860.0,38248153000.0
Tổng Công ty Cổ phần Khoan và Dịch vụKhoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụKhoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụKhoan Dầu khí,5.175.236.995,11.527.849.600,5175236995.0,11527849600.0
Tổng Công ty Hóa chất và Dịch vụ Dầu khí- CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí- CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí- CTCP,1.711.633.817,5.917.073.239,1711633817.0,5917073239.0
