row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2024VND,Tại ngày 31 tháng 12 năm > 2023VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2024VND,numeric__Tại ngày 31 tháng 12 năm > 2023VND
300,300,300,NỘ PHẢI TRẢ,,20.283.886.142.528,22.455.835.056.055,,,20283886142528.0,22455835056055.0
310,310,310,Nợ ngắn hạn,,14.575.489.059.608,14.971.948.871.764,,,14575489059608.0,14971948871764.0
311,311,311,Phải trả người bán ngắn hạn,13,6.037.010.202.174,7.137.955.519.190,,13.0,6037010202174.0,7137955519190.0
312,312,312,Người mua trả tiền trước ngắn hạn,,270.548.145.715,119.146.697.342,,,270548145715.0,119146697342.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,14(c),682.837.407.395,650.741.105.663,,,682837407395.0,650741105663.0
314,314,314,Phải trả người lao động,,409.699.768.279,385.542.736.783,,,409699768279.0,385542736783.0
315,315,315,Chi phí phải trả ngắn hạn,15,2.995.123.654.976,2.844.331.963.463,,15.0,2995123654976.0,2844331963463.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,16,2.241.036.607.643,1.035.646.108.508,,16.0,2241036607643.0,1035646108508.0
319,319,319,Phải trả ngắn hạn khác,17,373.838.581.752,624.739.245.695,,17.0,373838581752.0,624739245695.0
320,320,320,Vay ngắn hạn,18(a),933.829.846.483,1.604.782.571.952,,,933829846483.0,1604782571952.0
322,322,322,"Quỹ khen thưởng, phúc lợi",19,631.564.845.191,569.062.923.168,,19.0,631564845191.0,569062923168.0
330,330,330,Nợ dài hạn,,5.708.397.082.920,7.483.886.184.291,,,5708397082920.0,7483886184291.0
336,336,336,Doanh thu chưa thực hiện dài hạn,,18.094.359.687,19.822.419.815,,,18094359687.0,19822419815.0
337,337,337,Phải trả dài hạn khác,,129.700.198.659,156.066.914.797,,,129700198659.0,156066914797.0
338,338,338,Vay dài hạn,18(b),2.290.752.009.267,4.270.501.721.940,,,2290752009267.0,4270501721940.0
341,341,341,Thuế thu nhập doanh nghiệp hoãn lại phải trả,,293.780.671.709,279.708.433.761,,,293780671709.0,279708433761.0
342,342,342,Dự phòng phải trả dài hạn,20,2.940.586.829.099,2.757.275.036.436,,20.0,2940586829099.0,2757275036436.0
343,343,343,Quỹ phát triển khoa học và công nghệ,,35.483.014.499,511.657.542,,,35483014499.0,511657542.0
400,400,400,VỐN CHỦ SỞ HỮU,,61.570.995.265.630,65.298.620.274.393,,,61570995265630.0,65298620274393.0
410,410,410,Vốn chủ sở hữu,,61.570.995.265.630,65.298.620.274.393,,,61570995265630.0,65298620274393.0
411,411,411,Vốn góp của chủ sở hữu,"21, 22",23.426.729.190.000,22.967.398.470.000,,,23426729190000.0,22967398470000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,23.426.729.190.000,22.967.398.470.000,,,23426729190000.0,22967398470000.0
412,412,412,Thặng dư vốn cổ phần,22,246.727.266,246.727.266,,22.0,246727266.0,246727266.0
414,414,414,Vốn khác của chủ sở hữu,22,300.272.460.670,282.322.856.474,,22.0,300272460670.0,282322856474.0
418,418,418,Quỹ đầu tư phát triển,22,26.967.513.791.091,23.919.001.668.407,,22.0,26967513791091.0,23919001668407.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",22,9.553.019.715.422,16.879.761.088.028,,22.0,9553019715422.0,16879761088028.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,(647.086.478.241),5.461.127.074.863,,,-647086478241.0,5461127074863.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,10.200.106.193.663,11.418.634.013.165,,,10200106193663.0,11418634013165.0
429,429,429,Lợi ích cổ đông không kiểm soát,22,1.323.213.381.181,1.249.889.464.218,,22.0,1323213381181.0,1249889464218.0
440,440,440,TỔNG NGUỒN VỐN,,81.854.881.408.158,87.754.455.330.448,,,81854881408158.0,87754455330448.0
