row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2023,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Vốn khác của chủ sở hữu VND > 196.658.562.648,Quỹ đầu tư phát triển VND > 21.063.056.727.255,Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,LNST chưa phân phối lũy kế của các năm trước VND > 4.601.880.959.161,LNST chưa phân phối năm nay VND > 14.639.611.551.455,Lợi ích cổ đông không kiểm soát VND > 1.315.888.895.212,Tổng cộng VND > 61.173.563.555.141,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Vốn khác của chủ sở hữu VND > 196.658.562.648,numeric__Quỹ đầu tư phát triển VND > 21.063.056.727.255,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,numeric__LNST chưa phân phối lũy kế của các năm trước VND > 4.601.880.959.161,numeric__LNST chưa phân phối năm nay VND > 14.639.611.551.455,numeric__Lợi ích cổ đông không kiểm soát VND > 1.315.888.895.212,numeric__Tổng cộng VND > 61.173.563.555.141
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,14.639.611.551.455,(14.639.611.551.455),-,-,,,,,,14639611551455.0,-14639611551455.0,,
Vốn tăng trong năm,Vốn tăng trong năm,Vốn tăng trong năm,3.827.898.470.000,(210.432.814.031),-,(3.617.465.655.969),-,-,-,-,-,3827898470000.0,-210432814031.0,,-3617465655969.0,,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,11.606.030.646.959,187.064.832.584,11.793.095.479.543,,,,,,,11606030646959.0,187064832584.0,11793095479543.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,6.552.787.572.834,-,(6.552.787.572.834),-,-,-,,,,6552787572834.0,,-6552787572834.0,,,
"Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)",-,-,-,-,-,(216.395.153.521),(187.396.633.794),(23.263.393.397),(427.055.180.712),,,,,,-216395153521.0,-187396633794.0,-23263393397.0,-427055180712.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(6.890.220.000.000),-,(229.560.163.201),(7.119.780.163.201),,,,,,-6890220000000.0,,-229560163201.0,-7119780163201.0
Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ vốn khác của chủ sở hữu sang quỹ đầu tư phát triển,-,-,(5.140.265.563),5.140.265.563,-,-,-,-,-,,,-5140265563.0,5140265563.0,,,,,
Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,Chuyển từ quỹ khác thuộc vốn chủ sở hữu sang quỹ đầu tư phát triển,-,-,-,6.287.318.113,(6.287.318.113),-,-,-,-,,,,6287318113.0,-6287318113.0,,,,
Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,-,-,90.804.559.389,(90.804.559.389),-,-,-,-,-,,,90804559389.0,-90804559389.0,,,,,
Khác,Khác,Khác,-,-,-,-,-,(120.962.709.398),-,(240.706.980),(121.203.416.378),,,,,,-120962709398.0,,-240706980.0,-121203416378.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,22.967.398.470.000,246.727.266,282.322.856.474,23.919.001.668.407,-,5.431.127.074.863,11.418.634.013.165,1.249.889.464.218,65.298.620.274.393,22967398470000.0,246727266.0,282322856474.0,23919001668407.0,,5431127074863.0,11418634013165.0,1249889464218.0,65298620274393.0
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,-,-,-,-,-,11.418.634.013.165,(11.418.634.013.165),-,-,,,,,,11418634013165.0,-11418634013165.0,,
Vốn tăng trong năm (i),Vốn tăng trong năm (i),Vốn tăng trong năm (i),459.330.720.000,-,-,(459.330.720.000),-,-,-,-,-,459330720000.0,,,-459330720000.0,,,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,10.398.370.049.725,191.750.535.785,10.590.120.585.510,,,,,,,10398370049725.0,191750535785.0,10590120585510.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,-,3.525.792.446.880,-,(3.525.792.446.880),-,-,-,,,,3525792446880.0,,-3525792446880.0,,,
"Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19) (ii)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19) (ii)",-,-,-,-,-,(204.699.870.331),(198.263.856.062),(22.254.943.944),(425.218.670.337),,,,,,-204699870331.0,-198263856062.0,-22254943944.0,-425218670337.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,(13.780.439.082.000),-,(92.037.120.356),(13.872.476.202.356),,,,,,-13780439082000.0,,-92037120356.0,-13872476202356.0
Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,Chuyển từ quỹ đầu tư phát triển sang vốn khác của chủ sở hữu,-,-,17.949.604.196,(17.949.604.196),-,-,-,-,-,,,17949604196.0,-17949604196.0,,,,,
Khác,Khác,Khác,-,-,-,-,-,(15.916.167.058),-,(4.134.554.522),(20.050.721.580),,,,,,-15916167058.0,,-4134554522.0,-20050721580.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,23.426.729.190.000,246.727.266,300.272.460.670,26.967.513.791.091,-,(647.086.478.241),10.200.106.193.363,1.323.213.381.181,61.570.995.265.630,23426729190000.0,246727266.0,300272460670.0,26967513791091.0,,-647086478241.0,10200106193363.0,1323213381181.0,61570995265630.0
