row_label_raw,row_label_full,col_0,Tại ngày1.1.2024VND,TăngVND,Cấn trừVND,GiảmVND,Tại ngày31.12.2024VND,numeric__Tại ngày1.1.2024VND,numeric__TăngVND,numeric__Cấn trừVND,numeric__GiảmVND,numeric__Tại ngày31.12.2024VND
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,,,,,
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,547.765.432.305,9.343.259.687.501,(9.443.256.582.970),-,447.768.536.836,547765432305.0,9343259687501.0,-9443256582970.0,,447768536836.0
Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,Thuế và các khoản (phải thu)/phải nộp Nhà nước,,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,Thuế GTGT,,,,,
Nội địa,Thuế GTGT > Nội địa,Nội địa,68.641.687.326,11.168.997.503.025,(9.443.256.582.970),(1.654.177.757.275),140.204.850.106,68641687326.0,11168997503025.0,-9443256582970.0,-1654177757275.0,140204850106.0
Nhập khẩu,Thuế GTGT > Nhập khẩu,Nhập khẩu,-,2.065.439.506.966,-,(2.065.439.927.026),(420.060),,2065439506966.0,,-2065439927026.0,-420060.0
Thuế nhập khẩu,Thuế GTGT > Thuế nhập khẩu,Thuế nhập khẩu,(19.570.129.410),472.461.276.864,-,(471.838.867.607),(18.947.720.153),-19570129410.0,472461276864.0,,-471838867607.0,-18947720153.0
Thuế TNDN,Thuế GTGT > Thuế TNDN,Thuế TNDN,532.332.585.556,2.589.793.005.445,-,(2.632.100.363.803),490.025.227.198,532332585556.0,2589793005445.0,,-2632100363803.0,490025227198.0
Thuế TNCN,Thuế GTGT > Thuế TNCN,Thuế TNCN,19.916.043.307,165.432.876.578,-,(151.188.222.936),34.160.696.949,19916043307.0,165432876578.0,,-151188222936.0,34160696949.0
Khác,Thuế GTGT > Khác,Khác,3.367.037.854,75.282.186.368,-,(78.575.278.792),73.945.430,3367037854.0,75282186368.0,,-78575278792.0,73945430.0
,,,604.687.224.633,16.537.406.355.246,(9.443.256.582.970),(7.053.320.417.439),645.516.579.470,604687224633.0,16537406355246.0,-9443256582970.0,-7053320417439.0,645516579470.0
