row_label_raw,row_label_full,Quá hạn,2024 > Giá trị gốc VND,2024 > Giá trị có thể thu hồi VND,2024 > Dự phòng VND,2023 > Giá trị gốc VND,2023 > Giá trị có thể thu hồi VND,2023 > Dự phòng VND,numeric__2024 > Giá trị gốc VND,numeric__2024 > Giá trị có thể thu hồi VND,numeric__2024 > Dự phòng VND,numeric__2023 > Giá trị gốc VND,numeric__2023 > Giá trị có thể thu hồi VND,numeric__2023 > Dự phòng VND
Tổng Công ty Thăm dòKhai thác Dầu khí,Tổng Công ty Thăm dòKhai thác Dầu khí,Tổng Công ty Thăm dòKhai thác Dầu khí,,,,,,,,,,,,
Từ 2 năm đến 3 năm,Tổng Công ty Thăm dòKhai thác Dầu khí > Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,40.098.227.943,12.029.468.383,28.068.759.560,9.6'0.794.384,2.883.238.315,6.727.556.069,40098227943.0,12029468383.0,28068759560.0,,2883238315.0,6727556069.0
Từ 1 năm đến 2 năm,Tổng Công ty Thăm dòKhai thác Dầu khí > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,72.661.863.320,36.330.931.660,36.330.931.660,35.059.154.948,17.529.577.474,17.529.577.474,72661863320.0,36330931660.0,36330931660.0,35059154948.0,17529577474.0,17529577474.0
Từ 6 tháng đến 1 năm,Tổng Công ty Thăm dòKhai thác Dầu khí > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,53.673.922.352,37.571.745.646,16.102.176.706,30.478.224.584,21.334.757.209,9.143.467.375,53673922352.0,37571745646.0,16102176706.0,30478224584.0,21334757209.0,9143467375.0
,,,166.434.013.615,85.932.145.689,80.501.867.926,75.148.173.916,41.747.572.998,33.400.600.918,166434013615.0,85932145689.0,80501867926.0,75148173916.0,41747572998.0,33400600918.0
Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau:,,,,,,
Quá hạn,Chi tiết các khoản phải thu ngắn hạn khác khó có khả năng thu hồi được trình bày chi tiết như sau: > Quá hạn,Quá hạn,2024,2024,2024,2023,2023,2023,2024.0,2024.0,2024.0,2023.0,2023.0,2023.0
Quá hạn,Quá hạn,Quá hạn,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,,,,,,
Công ty Cổ phần Phát triểnĐô thị Dầu khí,Quá hạn > Công ty Cổ phần Phát triểnĐô thị Dầu khí,Công ty Cổ phần Phát triểnĐô thị Dầu khí,56.212.500.000,-,56.212.500.000,56.212.500.000,-,56.212.500.000,56212500000.0,,56212500000.0,56212500000.0,,56212500000.0
Trên 3 năm,Quá hạn > Trên 3 năm,Trên 3 năm,50.000.000.000,-,50.000.000.000,50.000.000.000,-,50.000.000.000,50000000000.0,,50000000000.0,50000000000.0,,50000000000.0
Từ 1 năm đến 2 năm,Quá hạn > Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,6.212.500.000,-,6.212.500.000,-,-,-,6212500000.0,,6212500000.0,,,
Từ 6 tháng đến 1 năm,Quá hạn > Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,-,-,-,6.212.500.000,-,6.212.500.000,,,,6212500000.0,,6212500000.0
Công ty Cổ phần Xây lắp Dầu khí 2,Quá hạn > Công ty Cổ phần Xây lắp Dầu khí 2,Công ty Cổ phần Xây lắp Dầu khí 2,4.870.608.031,-,4.870.608.031,4.870.608.031,-,4.870.608.031,4870608031.0,,4870608031.0,4870608031.0,,4870608031.0
Trên 3 năm,Quá hạn > Trên 3 năm,Trên 3 năm,4.870.608.031,-,4.870.608.031,4.870.608.031,-,4.870.608.031,4870608031.0,,4870608031.0,4870608031.0,,4870608031.0
,,,61.083.108.031,-,61.083.108.031,61.083.108.031,-,61.083.108.031,61083108031.0,,61083108031.0,61083108031.0,,61083108031.0
