row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2024VND,2023VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,13.172.107.496.375,14.639.542.209.210,,13172107496375.0,14639542209210.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"") vàbất động sản đầu tư",2.727.709.804.035,3.026.921.230.677,,2727709804035.0,3026921230677.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản dự phòng,2.109.442.400.255,366.192.272.100,,2109442400255.0,366192272100.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá laicác khoản mục tiên tế có gốc ngoại tệ,1.070.942.346,96.268.084.573,,1070942346.0,96268084573.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(1.504.151.203.000),(2.073.305.978.387),,-1504151203000.0,-2073305978387.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chỉ phí lãi vay,318.596.953.375,339.976.056.558,,318596953375.0,339976056558.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,16.824.776.393.386,16.395.593.874.731,,16824776393386.0,16395593874731.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Tăng các khoản phải thu,(4.549.384.677.628),(550.297.452.099),,-4549384677628.0,-550297452099.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,(Tăng)/giảm hàng tồn kho,(662.132.189.021),115.462.821.548,,-662132189021.0,115462821548.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,930.606.432.959,1.159.357.930.370,,930606432959.0,1159357930370.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,(Tăng)/giảm chi phí trả trước,(179.814.994.980),585.198.622.793,,-179814994980.0,585198622793.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(334.023.151.235),(505.230.388.152),,-334023151235.0,-505230388152.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Tiền thuế TNDN đã nộp,(2.632.100.363.803),(3.134.151.129.378),,-2632100363803.0,-3134151129378.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(362.716.748.314),(238.889.627.322),,-362716748314.0,-238889627322.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,9.035.210.701.364,13.827.044.652.491,,9035210701364.0,13827044652491.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ vàcác tài sản dài hạn khác",(1.925.456.571.752),(1.841.341.777.865),,-1925456571752.0,-1841341777865.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,Tiền thu từ thanh lý TSCĐ,1.386.025.703,66.000.000,,1386025703.0,66000000.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,Tiền chi gửi ngân hàng có kỳ han,(46.644.494.787.639),(50.078.274.935.445),,-46644494787639.0,-50078274935445.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,Tiền thu hồi tiên gửi ngân hàng có kỳ han,54.236.231.463.575,38.720.237.385.731,,54236231463575.0,38720237385731.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",1.800.643.654.080,1.950.619.634.557,,1800643654080.0,1950619634557.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,7.468.309.783.967,(11.248.693.693.022),,7468309783967.0,-11248693693022.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,
33,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 33,33,Tiền thu từ vay,1.862.902.885.250,2.075.745.608.357,,1862902885250.0,2075745608357.0
34,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 34,34,Tiền chi trả nợ gốc vay,(4.602.854.918.967),(2.419.278.798.827),,-4602854918967.0,-2419278798827.0
36,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 36,36,Tiền chi trả cổ tức cho các cổ đông,(13.872.476.202.356),(7.119.780.163.201),,-13872476202356.0,-7119780163201.0
40,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 40,40,Lưu chuyển thuần từ hoạt động tài chính,(16.612.428.236.073),(7.463.313.353.671),,-16612428236073.0,-7463313353671.0
50,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,(108.907.750.742),(4.884.962.394.202),,-108907750742.0,-4884962394202.0
60,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,3,5.668.895.193.049,,3.0,5668895193049.0
61,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,7.995.989.161,4.519.948.714,,7995989161.0,4519948714.0
70,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,5.567.983.431.468,,3.0,5567983431468.0
