row_label_raw,row_label_full,Ông Nguyễn Thanh Bình,Chủ tịch,numeric__Chủ tịch
Ông Phạm Văn Phong,Ông Phạm Văn Phong,Ông Phạm Văn Phong,Thành viên,
Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Bà Võ Thị Thanh Ngọc,Thành viên,
Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Ông Trương Hồng Sơn,Thành viên,
Ông Triệu Quốc Tuấn,Ông Triệu Quốc Tuấn,Ông Triệu Quốc Tuấn,Thành viên,
Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Ông Đỗ Đông Nguyên,Thành viên độc lập,
Ông Nguyễn Thanh Hảo,Ông Nguyễn Thanh Hảo,Ông Nguyễn Thanh Hảo,Thành viên độc lập(từ ngày 29 tháng 5 năm 2024),
