row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàcác thiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàcác thiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,11.750.360.097.586,5.536.067.272.701,918.178.525.038,513.417.754.652,44.712.818.824.140,63.430.842.474.117,11750360097586.0,5536067272701.0,918178525038.0,513417754652.0,44712818824140.0,63430842474117.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,37.796.113.499,93.673.724.937,9.964.095.398,12.844.532.716,102.321.499.978,256.599.966.528,37796113499.0,93673724937.0,9964095398.0,12844532716.0,102321499978.0,256599966528.0
Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựngcơ bản dở dang (Thuyết minh 12),915.140.094.065,78.244.241.146,9.975.948.147,617.011.085,146.754.696.393,1.150.731.990.836,915140094065.0,78244241146.0,9975948147.0,617011085.0,146754696393.0,1150731990836.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(8.320.553.535),(2.385.863.604),-,(10.894.360.612),(13.243.637.128),(34.844.414.879),-8320553535.0,-2385863604.0,,-10894360612.0,-13243637128.0,-34844414879.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,12.694.975.751.615,5.705.599.375.180,938.118.568.583,515.984.937.841,44.948.651.383.383,64.803.330.016.602,12694975751615.0,5705599375180.0,938118568583.0,515984937841.0,44948651383383.0,64803330016602.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,5.361.647.858.412,3.732.857.635.390,772.472.441.683,406.898.730.430,34.012.060.766.366,44.285.937.432.281,5361647858412.0,3732857635390.0,772472441683.0,406898730430.0,34012060766366.0,44285937432281.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,409.478.143.391,239.840.144.706,26.520.252.878,52.060.816.547,1.970.367.879.489,2.698.267.237.011,409478143391.0,239840144706.0,26520252878.0,52060816547.0,1970367879489.0,2698267237011.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,(6.975.040.021),(2.385.863.604),-,(10.894.360.612),(13.243.637.128),(33.498.901.365),-6975040021.0,-2385863604.0,,-10894360612.0,-13243637128.0,-33498901365.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,5.764.150.961.782,3.970.311.916.492,798.992.694.561,448.065.186.365,35.969.185.008.727,46.950.705.767.927,5764150961782.0,3970311916492.0,798992694561.0,448065186365.0,35969185008727.0,46950705767927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,6.388.712.239.174,1.803.209.637.311,145.706.083.355,106.519.024.222,10.700.758.057.774,19.144.905.041.836,6388712239174.0,1803209637311.0,145706083355.0,106519024222.0,10700758057774.0,19144905041836.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,6.930.824.789.833,1.735.287.458.688,139.125.874.022,57.919.751.476,8.979.466.374.656,17.852.624.248.675,6930824789833.0,1735287458688.0,139125874022.0,57919751476.0,8979466374656.0,17852624248675.0
