row_label_raw,row_label_full,Trần Thị Hoàng Anh - Trường ban,1.716.016.239,1.666.631.390,numeric__1.716.016.239,numeric__1.666.631.390
Nguyễn Công Minh - Kiểm soát viên,Nguyễn Công Minh - Kiểm soát viên,Nguyễn Công Minh - Kiểm soát viên,1.518.719.754,1.500.398.921,1518719754.0,1500398921.0
Nguyễn Thị Kim Yến - Kiểm soát viên,Nguyễn Thị Kim Yến - Kiểm soát viên,Nguyễn Thị Kim Yến - Kiểm soát viên,1.398.547.022,1.358.339.775,1398547022.0,1358339775.0
