row_label_raw,row_label_full,Tên công ty,Nơi thành lập,Lĩnh vực kinh dcanh,2024,2024_1,2023,2023_1,numeric__Nơi thành lập,numeric__Lĩnh vực kinh dcanh,numeric__2024,numeric__2024_1,numeric__2023,numeric__2023_1
Tên công ty,Tên công ty,Tên công ty,Nơi thành lập,Lĩnh vực kinh dcanh,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty con > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Tỉnh Tiền Giang,Sản xuất ống thép,"99,99","99,99","99,99","99,99",,,99.99,99.99,99.99,99.99
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Thành phố,,,,,,,,,,,
Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam > Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,Hồ Chí Minh,Phân phối khí thấp áp,"50,50","50,50","50,50","50,50",,,50.5,50.5,50.5,50.5
Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam > Công ty Cổ phần CNG Việt Nam,Công ty Cổ phần CNG Việt Nam,Tỉnh Bà Rịa - Vũng Tàu,Sản xuất khí thiên nhiên,"56,00","56,00","56,00","56,00",,,56.0,56.0,56.0,56.0
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Thành phố,,,,,,,,,,,
Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam > Công ty Cổ phần Kinh doanh LPG Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam,Hà Nội,Phân phối khí hóa lỏng,"51,31","51,31","51,31","51,31",,,51.31,51.31,51.31,51.31
Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Kinh doanh LPG Việt Nam > Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Tỉnh Bà Rịa - Vũng Tàu,Kinh doanh dịch vụ bọc ống,"52,94","52,94","52,94","52,94",,,52.94,52.94,52.94,52.94
Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Thành phố,,,,,,,,,,,
Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam > Công ty Cổ phần LNG Việt Nam,Công ty Cổ phần LNG Việt Nam,Hồ Chí Minh,Sản xuất khí thiên nhiên,"51,00","51,00","51,00","51,00",,,51.0,51.0,51.0,51.0
Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty Cổ phần LNG Việt Nam > Công ty TNHH Kho Cảng LNG Sơn Mỹ,Công ty TNHH Kho Cảng LNG Sơn Mỹ,Tỉnh Bình Thuận,Xử lý khí thiên nhiên,"61,00","61,00","61,00","61,00",,,61.0,61.0,61.0,61.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Thành phố,,,,,,,,,,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Hồ Chí Minh,Phân phối khí hóa lỏng,"35,26","35,26","35,26","35,26",,,35.26,35.26,35.26,35.26
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Thành phố,,,,,,,,,,,
Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom > Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,Hồ Chí Minh,Kinh doanh khí,"29,00","29,00","29,00","29,00",,,29.0,29.0,29.0,29.0
