row_label_raw,row_label_full,Công ty mẹ,Công ty mẹ_1,Công ty mẹ_2,numeric__Công ty mẹ_1,numeric__Công ty mẹ_2
Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,Tập đoàn Đầu khí Việt Nam,176.924.764.595,1.935.617.799,176924764595.0,1935617799.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty liên kết > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,140.385.395.645,120.317.929.530,140385395645.0,120317929530.0
Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,Các công ty thành viên thuộc Tập đoàn,,
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Các công ty thành viên thuộc Tập đoàn > Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,1.105.155.592.348,1.012.605.883.692,1105155592348.0,1012605883692.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,517.570.446.789,-,517570446789.0,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,162.527.847.352,-,162527847352.0,
Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Các công ty thành viên thuộc Tập đoàn > Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP - Công ty Điện lực Dầu khí Nhơn Trạch,118.228.915.854,71.247.164.143,118228915854.0,71247164143.0
Công ty Cổ phần Phát triển Đô thị Dầu khí,Các công ty thành viên thuộc Tập đoàn > Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,56.212.500.000,57.461.882.880,56212500000.0,57461882880.0
Tổng Công ty Thăm dô Khai thác Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Thăm dô Khai thác Dầu khí,Tổng Công ty Thăm dô Khai thác Dầu khí,55.814.003.125,43.927.118.390,55814003125.0,43927118390.0
Liên doanh Việt - Nga Vietsovpetro,Các công ty thành viên thuộc Tập đoàn > Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,39.089.575.514,134.270.391.289,39089575514.0,134270391289.0
Tổng Công ty Cổ phần Vạn tải Dầu khí,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Cổ phần Vạn tải Dầu khí,Tổng Công ty Cổ phần Vạn tải Dầu khí,1.399.587.501,1.272.370.134,1399587501.0,1272370134.0
Tổng Công ty Dầu Việt Nam - CTCP,Các công ty thành viên thuộc Tập đoàn > Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,250.926.814,3.976.947.266,250926814.0,3976947266.0
,,,2.373.559.555.537,1.447.015.305.123,2373559555537.0,1447015305123.0
