row_label_raw,row_label_full,Chi nhánh Tổng Công ty Điện lực Dầu khí Việt Nam -CTCP - Công ty Điện lực Dầu khí Cà Mau > Công ty Cổ phần Bao bì Dầu khí Việt Nam,Số cuối nămVND > 86.109.611.936 > 31.978.740.750,Số đầu nămVND > - > 23.752.206.958,numeric__Số cuối nămVND > 86.109.611.936 > 31.978.740.750,numeric__Số đầu nămVND > - > 23.752.206.958
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,114.837.043.925,54.766.597.900,114837043925.0,54766597900.0
,,,232.925.396.611,78.518.804.858,232925396611.0,78518804858.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước cho người bán là các bên liên quan(Chi tiết tại Thuyết minh số 37),Trong đó: > Trả trước cho người bán là các bên liên quan(Chi tiết tại Thuyết minh số 37),Trả trước cho người bán là các bên liên quan(Chi tiết tại Thuyết minh số 37),118.923.252.686,24.587.106.958,118923252686.0,24587106958.0
