row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,27,13.306.633.471.027,12.825.341.033.897,,1.0,27.0,13306633471027.0,12825341033897.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,459.039.774.500,378.947.072.778,,2.0,27.0,459039774500.0,378947072778.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,12.847.593.696.527,12.446.393.961.119,,10.0,,12847593696527.0,12446393961119.0
4.,4.,4.,Giá vốn hàng bán,11,28,10.447.686.679.683,10.440.193.976.563,,11.0,28.0,10447686679683.0,10440193976563.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.399.907.016.844,2.006.199.984.556,,20.0,,2399907016844.0,2006199984556.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,30,380.002.488.482,577.255.344.970,,21.0,30.0,380002488482.0,577255344970.0
7.,7.,7.,Chi phí tài chính,22,31,72.492.708.990,27.099.798.480,,22.0,31.0,72492708990.0,27099798480.0
,,,- Trong đó: Chi phí lãi vay,23,,42.223.751.638,9.883.084.457,,23.0,,42223751638.0,9883084457.0
8.,8.,8.,Chi phí bán hàng,25,32,960.449.156.504,794.266.885.292,,25.0,32.0,960449156504.0,794266885292.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,32,449.063.775.293,532.375.795.590,,26.0,32.0,449063775293.0,532375795590.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.297.903.864.539,1.229.712.850.164,,30.0,,1297903864539.0,1229712850164.0
11.,11.,11.,Thu nhập khác,31,33,24.847.041.285,24.744.202.802,,31.0,33.0,24847041285.0,24744202802.0
12.,12.,12.,Chi phí khác,32,33,1.053.763.524,2.269.270.186,,32.0,33.0,1053763524.0,2269270186.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,33,23.793.277.761,22.474.932.616,,40.0,33.0,23793277761.0,22474932616.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.321.697.142.300,1.252.187.782.780,,50.0,,1321697142300.0,1252187782780.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,97.518.384.291,144.317.266.613,,51.0,34.0,97518384291.0,144317266613.0
16.,16.,16.,(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,,(9.547.696.403),(708.040.398),,52.0,,-9547696403.0,-708040398.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh,60,,1.233.726.454.412,1.108.578.556.565,,60.0,,1233726454412.0,1108578556565.0
