row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbj truyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbj truyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.847.455.786.629,11.169.520.231.989,143.978.961.284,81.591.417.756,59.635.237.927,15.302.181.635.585,3847455786629.0,11169520231989.0,143978961284.0,81591417756.0,59635237927.0,15302181635585.0
Mua sắm mới trong năm,NGUYÊN GIÁ > Mua sắm mới trong năm,Mua sắm mới trong năm,7.783.536.644,48.969.578.028,70.201.078.006,20.443.593.753,-,147.397.786.431,7783536644.0,48969578028.0,70201078006.0,20443593753.0,,147397786431.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,64.880.006.032,14.916.925.409,755.724.586,-,-,80.552.656.027,64880006032.0,14916925409.0,755724586.0,,,80552656027.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(592.497.965),(4.482.809.999),-,(5.075.307.964),,,-592497965.0,-4482809999.0,,-5075307964.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(3.406.969.666),-,-,-,-,(3.406.969.666),-3406969666.0,,,,,-3406969666.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(508.394.636),508.394.636,-,-,-,-,-508394636.0,508394636.0,,,,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.916.203.965.003,11.233.915.130.062,214.343.265.911,97.552.201.510,59.635.237.927,15.521.649.800.413,3916203965003.0,11233915130062.0,214343265911.0,97552201510.0,59635237927.0,15521649800413.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.258.814.444.475,10.613.765.662.077,93.701.097.415,60.756.890.616,59.635.237.927,14.086.673.332.510,3258814444475.0,10613765662077.0,93701097415.0,60756890616.0,59635237927.0,14086673332510.0
Khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,91.712.868.011,103.524.319.486,19.921.316.823,6.834.073.395,-,221.992.577.715,91712868011.0,103524319486.0,19921316823.0,6834073395.0,,221992577715.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(592.497.965),(4.482.809.999),-,(5.075.307.964),,,-592497965.0,-4482809999.0,,-5075307964.0
Phân loại lại,GIÁ TRI HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(156.755.013),156.755.013,-,-,-,-,-156755013.0,156755013.0,,,,
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.350.370.557.473,10.717.446.736.576,113.029.916.273,63.108.154.012,59.635.237.927,14.303.590.602.261,3350370557473.0,10717446736576.0,113029916273.0,63108154012.0,59635237927.0,14303590602261.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,588.641.342.154,555.754.569.912,50.277.863.869,20.834.527.140,-,1.215.508.303.075,588641342154.0,555754569912.0,50277863869.0,20834527140.0,,1215508303075.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,565.833.407.530,516.468.393.486,101.313.349.638,34.444.047.498,-,1.218.059.198.152,565833407530.0,516468393486.0,101313349638.0,34444047498.0,,1218059198152.0
