row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,5.281.096.195.258,5.240.308.717.607,,300.0,,5281096195258.0,5240308717607.0
I.,I.,I.,Nợ ngắn hạn,310,,4.419.218.067.658,4.485.947.793.597,,310.0,,4419218067658.0,4485947793597.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,14,1.517.063.100.685,1.967.903.108.097,,311.0,14.0,1517063100685.0,1967903108097.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,15,209.961.921.679,23.304.353.103,,312.0,15.0,209961921679.0,23304353103.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,49.789.966.597,73.095.981.321,,313.0,16.0,49789966597.0,73095981321.0
4.,4.,4.,Phải trả người lao động,314,,155.167.443.081,143.281.877.286,,314.0,,155167443081.0,143281877286.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,17,421.864.646.450,443.759.296.553,,315.0,17.0,421864646450.0,443759296553.0
6.,6.,6.,Phải trả ngắn hạn khác,319,18,63.724.662.741,65.836.400.469,,319.0,18.0,63724662741.0,65836400469.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,19,1.145.286.987.219,844.566.868.322,,320.0,19.0,1145286987219.0,844566868322.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,21,616.246.434.178,588.968.647.901,,321.0,21.0,616246434178.0,588968647901.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,22,240.112.905.028,335.231.260.545,,322.0,22.0,240112905028.0,335231260545.0
II.,II.,II.,Nợ dài hạn,330,,861.878.127.600,754.360.924.010,,330.0,,861878127600.0,754360924010.0
1.,1.,1.,Vay và nợ thuê tài chính dài hạn,338,20,110.465.000.000,-,,338.0,20.0,110465000000.0,
2.,2.,2.,Quỹ phát triển khoa học và công nghệ,343,23,751.413.127.600,754.360.924.010,,343.0,23.0,751413127600.0,754360924010.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,9.949.475.392.992,9.925.726.741.289,,400.0,,9949475392992.0,9925726741289.0
I.,I.,I.,Vốn chủ sở hữu,410,24,9.949.475.392.992,9.925.726.741.289,,410.0,24.0,9949475392992.0,9925726741289.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,5.294.000.000.000,5.294.000.000.000,,411.0,,5294000000000.0,5294000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.294.000.000.000,5.294.000.000.000,,,,5294000000000.0,5294000000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,2.957.814.940.116,2.587.697.003.792,,418.0,,2957814940116.0,2587697003792.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,1.697.660.452.876,2.044.029.737.497,,421.0,,1697660452876.0,2044029737497.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,985.226.589.788,1.424.655.700.192,,,,985226589788.0,1424655700192.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,712.433.863.088,619.374.037.305,,,,712433863088.0,619374037305.0
