row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,31.264.131.173.918,26.343.133.239.147,100.0,,31264131173918.0,26343133239147.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,638.390.855.963,1.313.665.194.187,110.0,4.0,638390855963.0,1313665194187.0
1. Tiền,1. Tiền,1. Tiền,111,,628.390.855.963,913.665.194.187,111.0,,628390855963.0,913665194187.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,10.000.000.000,400.000.000.000,112.0,,10000000000.0,400000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,23.730.400.000.000,17.563.000.000.000,120.0,,23730400000000.0,17563000000000.0
1. Đầu tư nấm giữ đến ngày đáo hạn,1. Đầu tư nấm giữ đến ngày đáo hạn,1. Đầu tư nấm giữ đến ngày đáo hạn,123,5,23.730.400.000.000,17.563.000.000.000,123.0,5.0,23730400000000.0,17563000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,6.126.277.165.362,6.957.603.601.735,130.0,,6126277165362.0,6957603601735.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,2.488.058.007.978,2.043.091.247.627,131.0,6.0,2488058007978.0,2043091247627.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,382.816.457.706,1.373.464.764.854,132.0,7.0,382816457706.0,1373464764854.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,3.285.313.982.587,3.571.079.755.284,136.0,8.0,3285313982587.0,3571079755284.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,9,(29.911.282.909),(30.032.166.030),137.0,9.0,-29911282909.0,-30032166030.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,469.505.846.539,404.108.690.705,140.0,,469505846539.0,404108690705.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,10,469.505.846.539,404.108.690.705,141.0,10.0,469505846539.0,404108690705.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,299.557.306.054,104.755.752.520,150.0,,299557306054.0,104755752520.0
