row_label_raw,row_label_full,Ông Vũ Thế Phiệt > Ông Lê Mạnh Hùng,Tổng Giám đốc (bổ nhiệm ngày 10 tháng 8 năm 2018) > Tổng Giám đốc (nghi hưu ngày 01 tháng 8 năm 2018),numeric__Tổng Giám đốc (bổ nhiệm ngày 10 tháng 8 năm 2018) > Tổng Giám đốc (nghi hưu ngày 01 tháng 8 năm 2018)
Ông Đào Việt Dũng,Ông Đào Việt Dũng,Ông Đào Việt Dũng,Phó Tổng Giám đốc,
Ông Đỗ Tất Bình,Ông Đỗ Tất Bình,Ông Đỗ Tất Bình,Phó Tổng Giám đốc,
Ông Hồ Minh Tiến,Ông Hồ Minh Tiến,Ông Hồ Minh Tiến,Phó Tổng Giám đốc,
Ông Nguyễn Đình Dương,Ông Nguyễn Đình Dương,Ông Nguyễn Đình Dương,Phó Tổng Giám đốc,
Ông Lê Xuân Tùng,Ông Lê Xuân Tùng,Ông Lê Xuân Tùng,Phó Tổng Giám đốc,
Ông Võ Anh Tú,Ông Võ Anh Tú,Ông Võ Anh Tú,Phó Tổng Giám đốc,
Bà Lê Thị Diệu Thủy,Bà Lê Thị Diệu Thủy,Bà Lê Thị Diệu Thủy,Phó Tổng Giám đốc,
