row_label_raw,row_label_full,Bà Huỳnh Thị Diệu,Trường ban,numeric__Trường ban
Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Thành viên,
Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Ông Nguyễn Hữu Phúc,Thành viên (bổ nhiệm ngày 04 tháng 5 năm 2018),
Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Thành viên (miễn nhiệm ngày 04 tháng 5 năm 2018),
