row_label_raw,row_label_full,NỘI DUNG,TRẠNG,numeric__TRẠNG
BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,BÁO CÁO CỦA BAN TỔNG GIÁM ĐỐC,1 - 2,
BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,BÁO CÁO KIỂM TOÁN ĐỘC LẬP,3 - 4,
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,5 - 6,
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,7,7.0
BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,BÁO CÁO LƯU CHUYÊN TIỀN TỆ HỢP NHẤT,8 - 9,
THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,THUYÊT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,10 - 63,
