row_label_raw,row_label_full,Nội dung,Nội dung_1,Năm nayVND,Năm trướcVND,numeric__Nội dung_1,numeric__Năm nayVND,numeric__Năm trướcVND
I.,I.,I.,Doanh thu,2.495.693.748.667,1.991.946.215.757,,2495693748667.0,1991946215757.0
1.,1.,1.,Doanh thu dịch vụ hạ cát cánh,2.435.561.626.750,2.082.314.426.436,,2435561626750.0,2082314426436.0
1.,1.,1.,Các khoản giảm trừ doanh thu,54.746.113.576,90.543.029.190,,54746113576.0,90543029190.0
1.,1.,1.,Doanh thu thuần,2.380.815.513.174,1.991.771.397.246,,2380815513174.0,1991771397246.0
2.,2.,2.,Lãi tiền gửi,114.878.235.493,,,114878235493.0,
3.,3.,3.,Thu nhập khác,,174.818.511,,,174818511.0
II.,II.,II.,Chi phí,1.219.649.038.329,1.079.663.794.917,,1219649038329.0,1079663794917.0
1.,1.,1.,Chi phí hoạt động,900.637.860.745,851.593.189.707,,900637860745.0,851593189707.0
1.,1.,1.,Chi phí nhân viên,451.866.121.126,421.695.164.104,,451866121126.0,421695164104.0
1.,1.,1.,"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",7.897.328.615,6.848.914.811,,7897328615.0,6848914811.0
1.,1.,1.,Phân bổ khấu hao tài sản cố định từ chi phí quản lý chung,17.460.101.838,22.542.848.238,,17460101838.0,22542848238.0
1.,1.,1.,"Thuế, phí, lệ phí",2.993.201.585,2.098.088.991,,2993201585.0,2098088991.0
1.,1.,1.,Chi phí sửa chữa tài sản,272.657.811.917,263.038.141.790,,272657811917.0,263038141790.0
1.,1.,1.,"Chi phí điện, nước, thông tin liên lạc",15.409.713.569,15.720.747.908,,15409713569.0,15720747908.0
1.,1.,1.,Chi phí dịch vụ mua ngoài khác,34.930.765.884,31.456.871.966,,34930765884.0,31456871966.0
1.,1.,1.,Chi phí phúc lợi người lao động,38.216.794.575,30.545.894.648,,38216794575.0,30545894648.0
1.,1.,1.,Chi phí bằng tiền khác,59.206.021.636,57.646.517.251,,59206021636.0,57646517251.0
2.,2.,2.,Chi phí thuế thu nhập doanh nghiệp,319.011.177.584,228.070.605.210,,319011177584.0,228070605210.0
III.,III.,III.,Chênh lệch doanh thu - chi phí,1.276.044.710.338,912.282.420.840,,1276044710338.0,912282420840.0
IV.,IV.,IV.,Các thông tin liên quan khác :,,,,,
1.,IV. > 1.,1.,Tổng công ty ứng trước tiền chỉ đầu tư XDCB tài sản nhà nước (không bao gồm tiền thanh toán cho các tài sản đã hình thành từ 01/7/2014 - 31/3/2016),156.517.405.557,271.456.286.744,,156517405557.0,271456286744.0
2.,IV. > 2.,2.,Tài sản cố định tăng trong năm,128.746.993.798,709.649.937.864,,128746993798.0,709649937864.0
3.,IV. > 3.,3.,"Hao mòn tài sản cố định - số liệu tạm tính, trong đó:",190.547.212.704,769.340.562.794,,190547212704.0,769340562794.0
3.,IV. > 3.,3.,"- Đối với tài sản hình thành trước ngày 01 tháng 4 năm 2016, tính hao mòn theo thời gian tối thiểu trong khung quy định tại Thông tư 45/2013/TT-BTC",,769.340.562.794,,,769340562794.0
3.,IV. > 3.,3.,- Theo Thông tư 45/2018/TT-BTC ngày 07/05/2018 (Hiệu lực từ ngày 02/07/2018 áp dụng từ năm tài chính 2018),190.547.212.704,,,190547212704.0,
