row_label_raw,row_label_full,col_0,Vốn gópcủa chủ sở hữu,Thặng dưvốn cổ phần,Chênh lệch đánh giátài sản,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,Cộng,numeric__Vốn gópcủa chủ sở hữu,numeric__Thặng dưvốn cổ phần,numeric__Chênh lệch đánh giátài sản,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm nhu đượctrình bày năm trước,Số dư đầu năm nhu đượctrình bày năm trước,Số dư đầu năm nhu đượctrình bày năm trước,"21,771,732,360,000","14,602,790,587","(953,183,743,327)",-,"450,312,439,969","2,307,621,685,964","772,240,197,764","24,363,325,730,957",,,,,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,"4,100,501,029,638","21,219,148,933","4,121,720,178,571",,,,,,,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,"251,996,690,491","(251,996,690,491)","(891,124,088)","(891,124,088)",,,,,,,,
Trích quỹ khác,Trích quỹ khác,Trích quỹ khác,-,-,-,-,-,"(1,336,686,132)",-,"(1,336,686,132)",,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,"(1,306,303,941,600)","(3,200,000,000)","(1,309,503,941,600)",,,,,,,,
Điều chính do thoái vốn dẫn đếnmất quyền kiểm soát tại Công ty Cổphản Phục vụ Mặt đất Sài Gòn (**),Điều chính do thoái vốn dẫn đếnmất quyền kiểm soát tại Công ty Cổphản Phục vụ Mặt đất Sài Gòn (**),Điều chính do thoái vốn dẫn đếnmất quyền kiểm soát tại Công ty Cổphản Phục vụ Mặt đất Sài Gòn (**),-,-,"952,323,000,000",-,"(297,157,479)","297,157,478","(742,002,652,035)","210,320,347,964",,,,,,,,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,"860,743,327",-,-,-,-,"860,743,327",,,,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,"21,771,732,360,000","14,602,790,587",-,-,"702,011,972,981","4,848,782,554,857","47,365,570,574","27,384,495,248,999",,,,,,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,"6,135,334,749,577","12,519,411,648","6,147,854,161,225",,,,,,,,
Mua lại cổ phiếu,Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,-,"(572,470,000)",-,-,-,"(572,470,000)",,,,,,,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,"1,848,561,973,124","(1,848,561,973,124)",-,-,,,,,,,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,"(814,895,415,337)","(946,276,891)","(815,841,692,228)",,,,,,,,
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,-,"(5,575,500,000)",-,"(5,575,500,000)",,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,"(1,959,416,582,400)","(6,400,000,000)","(1,965,816,582,400)",,,,,,,,
Điều chính khác (*),Điều chính khác (*),Điều chính khác (*),-,-,-,-,-,"4,262,578,788",-,"4,262,578,788",,,,,,,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,"21,771,732,360,000","14,602,790,587",-,"(572,470,000)","2,550,573,946,105","6,359,930,412,361","52,538,705,331","30,748,805,744,384",,,,,,,,
