row_label_raw,row_label_full,Số đầu năm (ii),Số cuối nămVND > 2.511.561.532.587,Số đầu nămVND > 931.107.182.564,numeric__Số cuối nămVND > 2.511.561.532.587,numeric__Số đầu nămVND > 931.107.182.564
"Lãi từ các công ty liên doanh, liên kết","Lãi từ các công ty liên doanh, liên kết","Lãi từ các công ty liên doanh, liên kết",321.141.080.030,256.923.198.656,321141080030.0,256923198656.0
Thanh lý các khoản đầu tư trong năm,Thanh lý các khoản đầu tư trong năm,Thanh lý các khoản đầu tư trong năm,-,(176.473.200.771),,-176473200771.0
Lợi nhuận chuyển từ Công ty con sang,Lợi nhuận chuyển từ Công ty con sang,Lợi nhuận chuyển từ Công ty con sang,-,754.268.410.160,,754268410160.0
Công ty liên kết do thoái vốn,Công ty liên kết do thoái vốn,Công ty liên kết do thoái vốn,,,,
Chênh lệch do đánh giá lại tài sản,Công ty liên kết do thoái vốn > Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,-,930.159.640.000,,930159640000.0
Cổ tức được chia trong năm,Công ty liên kết do thoái vốn > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(224.833.810.966),(184.423.698.022),-224833810966.0,-184423698022.0
Số cuối năm,Công ty liên kết do thoái vốn > Số cuối năm,Số cuối năm,2.607.868.801.651,2.511.561.532.587,2607868801651.0,2511561532587.0
