row_label_raw,row_label_full,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Số cuối nămVND > 1.314.156.000,Số đầu nămVND > -,numeric__Số cuối nămVND > 1.314.156.000,numeric__Số đầu nămVND > -
Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,-,3.600.130.403,,3600130403.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,18.761.340,35.030.697,18761340.0,35030697.0
,,,1.332.917.340,3.635.161.100,1332917340.0,3635161100.0
Phải thu khách hàng ngắn hạn các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),Phải thu khách hàng ngắn hạn các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),Phải thu khách hàng ngắn hạn các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),1.314.156.000,-,1314156000.0,
