row_label_raw,row_label_full,Phải trả Ban Quản lý Dự án Khí - Điện - Đạm Cà Mau,55.851.413.429,75.571.633.412,numeric__55.851.413.429,numeric__75.571.633.412
- Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thường mại,- Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thường mại,- Thuế giá trị gia tăng đầu vào mua khí trong giai đoạn trước khi chính thức vận hành thường mại,49.897.065.571,69.617.285.554,49897065571.0,69617285554.0
- Các khoản phải trả khác,- Các khoản phải trả khác,- Các khoản phải trả khác,5.954.347.858,5.954.347.858,5954347858.0,5954347858.0
Phải trả Tập đoàn Dầu khí Việt Nam,Phải trả Tập đoàn Dầu khí Việt Nam,Phải trả Tập đoàn Dầu khí Việt Nam,152.890.357.958,152.448.336.377,152890357958.0,152448336377.0
"- Nhận bàn giao Dự án hoàn thành ""Nhà máy sản xuất Phân đạm Cà Mau"" (i)","- Nhận bàn giao Dự án hoàn thành ""Nhà máy sản xuất Phân đạm Cà Mau"" (i)","- Nhận bàn giao Dự án hoàn thành ""Nhà máy sản xuất Phân đạm Cà Mau"" (i)",78.515.027.920,78.515.027.920,78515027920.0,78515027920.0
- Lợi nhuận phải nộp (ii),- Lợi nhuận phải nộp (ii),- Lợi nhuận phải nộp (ii),40.732.029.647,40.732.029.647,40732029647.0,40732029647.0
- Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,- Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,- Thuế thu nhập doanh nghiệp năm 2014 nộp thừa,32.381.736.667,32.381.736.667,32381736667.0,32381736667.0
- Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,- Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,- Thuế thu nhập doanh nghiệp phải nộp giai đoạn từ ngày 01/01/2015 đến ngày 14/01/2015,1.176.849.040,1.176.849.040,1176849040.0,1176849040.0
- Phải trả vẽ cổ phần hóa,- Phải trả vẽ cổ phần hóa,- Phải trả vẽ cổ phần hóa,247.500.000,247.500.000,247500000.0,247500000.0
- Phải trả khác,- Phải trả khác,- Phải trả khác,(162.785.316),(604.806.897),-162785316.0,-604806897.0
Quỹ thường an toàn (iii),Quỹ thường an toàn (iii),Quỹ thường an toàn (iii),2.155.892.699,968.785.241,2155892699.0,968785241.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,1.004.320.525,884.990.682,1004320525.0,884990682.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",571.366.000,2.184.282.500,571366000.0,2184282500.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,8.139.665.013,15.638.709.394,8139665013.0,15638709394.0
