row_label_raw,row_label_full,Chi phí bán hàng phát sinh trong năm,Năm nayVND > Chi phí bán hàng phát sinh trong năm,Năm trướcVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm nayVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm trướcVND > Chi phí bán hàng phát sinh trong năm
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,23.775.485.379,14.939.346.224,23775485379.0,14939346224.0
"Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho","Chi phí vận chuyển, bổc xếp lưu kho",157.177.036.813,115.068.851.980,157177036813.0,115068851980.0
"Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",76.718.217.151,42.307.639.338,76718217151.0,42307639338.0
Chi phí an sinh xã hội,Chi phí an sinh xã hội,Chi phí an sinh xã hội,30.950.546.500,43.308.612.978,30950546500.0,43308612978.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,41.250.979.496,56.444.734.897,41250979496.0,56444734897.0
,,,329.872.265.339,272.069.185.417,329872265339.0,272069185417.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,76.364.448.793,60.170.615.237,76364448793.0,60170615237.0
Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,28.435.849.993,22.689.734.166,28435849993.0,22689734166.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,27.203.955.723,25.982.755.622,27203955723.0,25982755622.0
Trích Quỹ phát triển khoa học và công nghệ,Chi phí quản lý doanh nghiệp phát sinh trong năm > Trích Quỹ phát triển khoa học và công nghệ,Trích Quỹ phát triển khoa học và công nghệ,72.825.537.606,15.000.000.000,72825537606.0,15000000000.0
Lợi thể kinh doanh,Chi phí quản lý doanh nghiệp phát sinh trong năm > Lợi thể kinh doanh,Lợi thể kinh doanh,46.513.175.754,46.513.175.754,46513175754.0,46513175754.0
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,74.327.311.111,73.591.776.516,74327311111.0,73591776516.0
,,,325.670.278.980,243.948.057.295,325670278980.0,243948057295.0
