row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải và thiết bị truyền dẫn VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải và thiết bị truyền dẫn VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,3.339.315.277.882,10.271.156.847.920,53.522.977.989,56.255.149.449,58.688.591.244,13.778.938.844.484,3339315277882.0,10271156847920.0,53522977989.0,56255149449.0,58688591244.0,13778938844484.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.332.008.773,2.768.240.076,-,-,-,4.100.248.849,1332008773.0,2768240076.0,,,,4100248849.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,358.448.339,23.805.203.614,1.181.338.539,6.963.770.875,70.000.000,32.378.761.367,358448339.0,23805203614.0,1181338539.0,6963770875.0,70000000.0,32378761367.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,2.682.631.200,-,(2.682.631.200),-,-,,2682631200.0,,-2682631200.0,,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,3.341.005.734.994,10.300.412.922.810,54.704.316.528,60.536.289.124,58.758.591.244,13.815.417.854.700,3341005734994.0,10300412922810.0,54704316528.0,60536289124.0,58758591244.0,13815417854700.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.337.891.363.311,3.722.165.215.789,32.756.043.864,31.065.004.963,16.353.843.431,5.140.231.471.358,1337891363311.0,3722165215789.0,32756043864.0,31065004963.0,16353843431.0,5140231471358.0
Trích khấu hao trong nár,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong nár,Trích khấu hao trong nár,298.826.142.322,965.370.007.654,8.408.031.799,9.057.443.273,581.623.497,1.282.243.248.545,298826142322.0,965370007654.0,8408031799.0,9057443273.0,581623497.0,1282243248545.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.636.717.505.633,4.687.535.223.443,41.164.075.663,40.122.448.236,16.935.466.928,6.422.474.719.903,1636717505633.0,4687535223443.0,41164075663.0,40122448236.0,16935466928.0,6422474719903.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.704.288.229.361,5.612.877.699.367,13.540.240.865,20.413.840.888,41.823.124.316,7.392.943.134.797,1704288229361.0,5612877699367.0,13540240865.0,20413840888.0,41823124316.0,7392943134797.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.001.423.914.571,6.548.991.632.131,20.766.934.125,25.190.144.486,42.334.747.813,8.638.707.373.126,2001423914571.0,6548991632131.0,20766934125.0,25190144486.0,42334747813.0,8638707373126.0
