row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,6.251.937.736.993,7.076.467.284.936,300.0,,6251937736993.0,7076467284936.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,2.498.602.341.411,2.522.793.115.206,310.0,,2498602341411.0,2522793115206.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,14,436.612.037.922,694.917.293.842,311.0,14.0,436612037922.0,694917293842.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,15,83.530.106.522,64.450.940.342,312.0,15.0,83530106522.0,64450940342.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,16,14.910.637.181,1.979.235.163,313.0,16.0,14910637181.0,1979235163.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,46.823.927.098,40.096.782.541,314.0,,46823927098.0,40096782541.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,17,609.977.438.475,67.194.447.623,315.0,17.0,609977438475.0,67194447623.0
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,18,220.613.015.624,247.696.737.606,319.0,18.0,220613015624.0,247696737606.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,19,1.045.849.764.321,1.350.810.384.314,320.0,19.0,1045849764321.0,1350810384314.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,40.285.414.268,55.647.293.775,322.0,,40285414268.0,55647293775.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,3.753.335.395.582,4.553.674.169.730,330.0,,3753335395582.0,4553674169730.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,18,-,1.055.667.075,337.0,18.0,,1055667075.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,19,3.649.897.878.291,4.511.046.170.426,338.0,19.0,3649897878291.0,4511046170426.0
3. Quỹ phát triển khoa học và công nghệ,3. Quỹ phát triển khoa học và công nghệ,3. Quỹ phát triển khoa học và công nghệ,343,20,103.437.517.291,41.572.332.229,343.0,20.0,103437517291.0,41572332229.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,6.122.550.735.797,5.816.157.499.021,400.0,,6122550735797.0,5816157499021.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,,6.122.550.735.797,5.816.157.499.021,410.0,,6122550735797.0,5816157499021.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,21,5.294.000.000.000,5.294.000.000.000,411.0,21.0,5294000000000.0,5294000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.294.000.000.000,5.294.000.000.000,,,5294000000000.0,5294000000000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,21,235.869.469.817,159.137.253.402,418.0,21.0,235869469817.0,159137253402.0
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,21,592.681.265.980,363.020.245.619,421.0,21.0,592681265980.0,363020245619.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,97.950.886.496,-,,,97950886496.0,
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,494.730.379.484,363.020.245.619,,,494730379484.0,363020245619.0
