row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,371.396.247.833,537.202.298.525,6.202.598.546.358,5294000000000.0,371396247833.0,537202298525.0,6202598546358.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,619.298.648.713,619.298.648.713,,,619298648713.0,619298648713.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,74.315.837.846,(74.315.837.846),-,,74315837846.0,-74315837846.0,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,(83.884.863.773),(83.884.863.773),,,-83884863773.0,-83884863773.0
Chuyển trả tiên cố phân hóa,Chuyển trả tiên cố phân hóa,Chuyển trả tiên cố phân hóa,-,(286.574.832.277),-,(286.574.832.277),,-286574832277.0,,-286574832277.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(635.280.000.000),(635.280.000.000),,,-635280000000.0,-635280000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,159.137.253.402,363.020.245.619,5.816.157.499.021,5294000000000.0,159137253402.0,363020245619.0,5816157499021.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,639.435.136.791,639.435.136.791,,,639435136791.0,639435136791.0
Trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),Trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),Trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),-,76.732.216.415,(76.732.216.415),-,,76732216415.0,-76732216415.0,
"Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)","Trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)",-,-,(67.972.540.892),(67.972.540.892),,,-67972540892.0,-67972540892.0
Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,-,-,(369.359.123),(369.359.123),,,-369359123.0,-369359123.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(264.700.000.000),(264.700.000.000),,,-264700000000.0,-264700000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,235.869.469.817,592.681.265.980,6.122.550.735.797,5294000000000.0,235869469817.0,592681265980.0,6122550735797.0
