row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,676.162.874.565,652.765.583.305,1.0,676162874565.0,652765583305.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,1.299.341.302.383,1.285.534.155.836,2.0,1299341302383.0,1285534155836.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,(1.505.064.148),792.216.475,3.0,-1505064148.0,792216475.0
(Lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > (Lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(Lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(10.232.246.932),72.779.573.574,4.0,-10232246932.0,72779573574.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(159.804.185.039),(159.901.135.909),5.0,-159804185039.0,-159901135909.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,179.518.856.969,203.937.110.047,6.0,179518856969.0,203937110047.0
Các khoản điều chỉnh khác,2. Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,72.825.537.606,15.000.000.000,7.0,72825537606.0,15000000000.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,2.056.307.075.404,2.070.907.503.328,8.0,2056307075404.0,2070907503328.0
Thay đổi các khoản phải thu,2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,102.232.362.105,(417.429.377.115),9.0,102232362105.0,-417429377115.0
Thay đổi hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,19.480.695.020,16.682.887.159,10.0,19480695020.0,16682887159.0
"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,269.482.443.612,(38.639.313.956),11.0,269482443612.0,-38639313956.0
Thay đổi chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,94.040.664.356,(2.851.197.103),12.0,94040664356.0,-2851197103.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(173.846.298.201),(202.163.538.304),14.0,-173846298201.0,-202163538304.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(25.386.393.016),(5.161.367.983),15.0,-25386393016.0,-5161367983.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(91.485.439.476),(62.529.837.030),17.0,-91485439476.0,-62529837030.0
Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,2. Điều chỉnh cho các khoản: > Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,Chuyển số dư Quỹ Đầu tư phát triển về Tập đoàn,,-,(286.574.832.277),,,-286574832277.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,2.250.825.109.804,1.072.240.926.719,20.0,2250825109804.0,1072240926719.0
II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(105.903.984.120),(146.607.140.258),21.0,-105903984120.0,-146607140258.0
"2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(4.800.000.000.000),(5.100.000.000.000),23.0,-4800000000000.0,-5100000000000.0
"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,5.000.000.000.000,5.502.555.555.556,24.0,5000000000000.0,5502555555556.0
"4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,156.962.323.928,164.254.200.318,27.0,156962323928.0,164254200318.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỄN TIỂN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,251.058.339.808,420.202.615.616,30.0,251058339808.0,420202615616.0
