row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.814.488.440.420,4.018.521.887.465,100.0,,4814488440420.0,4018521887465.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,1.895.578.592.820,813.252.282.373,110.0,4.0,1895578592820.0,813252282373.0
1. Tiền,1. Tiền,1. Tiền,111,,393.228.592.820,481.252.282.373,111.0,,393228592820.0,481252282373.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,1.502.350.000.000,332.000.000.000,112.0,,1502350000000.0,332000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,2.100.000.000.000,2.300.000.000.000,120.0,5.0,2100000000000.0,2300000000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,2.100.000.000.000,2.300.000.000.000,123.0,,2100000000000.0,2300000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,401.994.588.549,476.159.875.570,130.0,,401994588549.0,476159875570.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,1.332.917.340,3.635.161.100,131.0,6.0,1332917340.0,3635161100.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,88.332.890.852,17.658.016.630,132.0,7.0,88332890852.0,17658016630.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,8,311.850.214.848,454.866.697.840,136.0,8.0,311850214848.0,454866697840.0
4. Tài sản thiếu chờ xử lý,4. Tài sản thiếu chờ xử lý,4. Tài sản thiếu chờ xử lý,139,,478.565.509,-,139.0,,478565509.0,
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,346.904.666.856,364.880.297.728,140.0,9.0,346904666856.0,364880297728.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,346.904.666.856,366.385.361.876,141.0,,346904666856.0,366385361876.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,-,(1.505.064.148),149.0,,,-1505064148.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,70.010.592.195,64.229.431.794,150.0,,70010592195.0,64229431794.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,10,25.861.128.945,28.841.582.279,151.0,10.0,25861128945.0,28841582279.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,43.662.950.934,32.040.550.899,152.0,,43662950934.0,32040550899.0
