row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năng trả nợVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năng trả nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năng trả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năng trả nợVND
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,,,,
Tập đoàn Dầu khí Việt Nam (*),Các khoản phải trả người bán ngắn hạn > Tập đoàn Dầu khí Việt Nam (*),Tập đoàn Dầu khí Việt Nam (*),198.267.385.610,198.267.385.610,494.320.135.459,494.320.135.459,198267385610.0,198267385610.0,494320135459.0,494320135459.0
Tổng Công ty Điện lực Dầu khí Việt Nam,Các khoản phải trả người bán ngắn hạn > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,33.178.356.253,33.178.356.253,33.178.233.697,33.178.233.697,33178356253.0,33178356253.0,33178233697.0,33178233697.0
Công ty TNHH Thượng mại Kỹ Thuật Trì Việt,Các khoản phải trả người bán ngắn hạn > Công ty TNHH Thượng mại Kỹ Thuật Trì Việt,Công ty TNHH Thượng mại Kỹ Thuật Trì Việt,17.521.782.922,17.521.782.922,1.804.871.343,1.804.871.343,17521782922.0,17521782922.0,1804871343.0,1804871343.0
Công ty Cố phần F.A,Các khoản phải trả người bán ngắn hạn > Công ty Cố phần F.A,Công ty Cố phần F.A,16.751.956.855,16.751.956.855,-,-,16751956855.0,16751956855.0,,
Công ty Cố phần Bảo bì Dầu khí Việt Nam,Các khoản phải trả người bán ngắn hạn > Công ty Cố phần Bảo bì Dầu khí Việt Nam,Công ty Cố phần Bảo bì Dầu khí Việt Nam,14.372.160.367,14.372.160.367,21.196.118.906,21.196.118.906,14372160367.0,14372160367.0,21196118906.0,21196118906.0
Công ty TNHH Bảo hiểm nhân thọ Sun Life Việt Nam,Các khoản phải trả người bán ngắn hạn > Công ty TNHH Bảo hiểm nhân thọ Sun Life Việt Nam,Công ty TNHH Bảo hiểm nhân thọ Sun Life Việt Nam,12.224.099.267,12.224.099.267,-,-,12224099267.0,12224099267.0,,
Các đối tượng khác,Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,144.296.296.648,144.296.296.648,144.417.934.437,144.417.934.437,144296296648.0,144296296648.0,144417934437.0,144417934437.0
,,,436.612.037.922,436.612.037.922,694.917.293.842,694.917.293.842,436612037922.0,436612037922.0,694917293842.0,694917293842.0
Phải trả người bán là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Các khoản phải trả người bán ngắn hạn > Phải trả người bán là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Phải trả người bán là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),264.683.951.106,264.683.951.106,563.007.206.789,563.007.206.789,264683951106.0,264683951106.0,563007206789.0,563007206789.0
