row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,5.825.331.233.371,4.951.519.499.734,1.0,24.0,5825331233371.0,4951519499734.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,24,85.218.359.150,61.578.260.352,2.0,24.0,85218359150.0,61578260352.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.740.112.874.221,4.889.941.239.382,10.0,,5740112874221.0,4889941239382.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,25,4.383.956.645.813,3.602.739.772.210,11.0,25.0,4383956645813.0,3602739772210.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.356.156.228.408,1.287.201.467.172,20.0,,1356156228408.0,1287201467172.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,171.869.630.084,285.486.655.090,21.0,27.0,171869630084.0,285486655090.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,199.420.343.837,429.997.146.694,22.0,28.0,199420343837.0,429997146694.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,179.518.856.969,203.937.110.047,23.0,,179518856969.0,203937110047.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,29,329.872.265.339,272.069.185.417,25.0,29.0,329872265339.0,272069185417.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,29,325.670.278.980,243.948.057.295,26.0,29.0,325670278980.0,243948057295.0
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,673.062.970.336,626.673.732.856,30.0,,673062970336.0,626673732856.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,30,3.182.396.723,26.118.882.026,31.0,30.0,3182396723.0,26118882026.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,30,82.492.494,27.031.577,32.0,30.0,82492494.0,27031577.0
13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),13. Lợi nhuận khác (40=31-32),40,30,3.099.904.229,26.091.850.449,40.0,30.0,3099904229.0,26091850449.0
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),14. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,676.162.874.565,652.765.583.305,50.0,,676162874565.0,652765583305.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,31,39.442.544.357,33.466.934.592,51.0,31.0,39442544357.0,33466934592.0
16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,16. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,,(2.714.806.583),-,52.0,,-2714806583.0,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,639.435.136.791,619.298.648.713,60.0,,639435136791.0,619298648713.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,32,1.079,1.011,70.0,32.0,1079.0,1011.0
