row_label_raw,row_label_full,col_0,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)_4
14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,14. Chi phí trả trước,,,,,
(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,(a) Chi phí trả trước ngắn hạn,,,,31/12/2017VND,1/1/2017VND,,,,,
Chi phí thuê máy bay trả trước,(a) Chi phí trả trước ngắn hạn > Chi phí thuê máy bay trả trước,Chi phí thuê máy bay trả trước,,,,201.055.142.423,227.656.900.271,,,,201055142423.0,227656900271.0
Chi phí bảo dưỡng máy bay trả trước,(a) Chi phí trả trước ngắn hạn > Chi phí bảo dưỡng máy bay trả trước,Chi phí bảo dưỡng máy bay trả trước,,,,14.643.249.582,13.212.911.483,,,,14643249582.0,13212911483.0
Chi phí trả trước ngắn hạn khác,(a) Chi phí trả trước ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,,,,2.763.388.628,179.750.361,,,,2763388628.0,179750361.0
,,,,,,218.461.780.633,241.049.562.115,,,,218461780633.0,241049562115.0
(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,,,,,
,,,Chi phíbảo dưỡngmáy bayVND,Chi phíhoàn tràtài sản thuêVND,Chi phíkiểm tra vàsửa chữa lớnVND,"Phụ tùng xoayvòng, công cụ vàdụng cụVND",TổngVND,,,,,
Số dư đầu năm,(b) Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,2.797.822.490.216,172.072.300.904,166.521.757.016,210.909.450.415,3.347.325.998.551,2797822490216.0,172072300904.0,166521757016.0,210909450415.0,3347325998551.0
Tăng trong năm,(b) Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,2.840.102.738.976,151.733.786.930,49.520.498.975,94.109.284.258,3.135.466.309.139,2840102738976.0,151733786930.0,49520498975.0,94109284258.0,3135466309139.0
Phân bổ trong năm,(b) Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(1.020.988.125.060),(3.094.968.923),(110.144.260.547),(168.109.508.121),(1.302.336.862.651),-1020988125060.0,-3094968923.0,-110144260547.0,-168109508121.0,-1302336862651.0
Xóa số trong năm,(b) Chi phí trả trước dài hạn > Xóa số trong năm,Xóa số trong năm,(163.140.034.641),-,-,-,(163.140.034.641),-163140034641.0,,,,-163140034641.0
Số dư cuối năm,(b) Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,4.453.797.069.491,320.711.118.911,105.897.995.444,136.909.226.552,5.017.315.410.398,4453797069491.0,320711118911.0,105897995444.0,136909226552.0,5017315410398.0
