row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,1.450.000.000.000,-,134.523.643.242,1.584.523.643.242,1450000000000.0,,134523643242.0,1584523643242.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,571.500.000.000,-,-,571.500.000.000,571500000000.0,,,571500000000.0
Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối,Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối,Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn lợi nhuận chưa phân phối,978.500.000.000,-,(978.500.000.000),-,978500000000.0,,-978500000000.0,
Cổ tức bằng tiền,Cổ tức bằng tiền,Cổ tức bằng tiền,-,-,(500.000.000.000),(500.000.000.000),,,-500000000000.0,-500000000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.415.948.761.728,1.415.948.761.728,,,1415948761728.0,1415948761728.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000.000.000,-,71.972.404.970,3.071.972.404.970,3000000000000.0,,71972404970.0,3071972404970.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,223.880.600.000,1.535.501.732.805,-,1.759.382.332.805,223880600000.0,1535501732805.0,,1759382332805.0
Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn thăng dư vốn cổ phần (Thuyết minh 24),Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn thăng dư vốn cổ phần (Thuyết minh 24),Tăng vốn bằng cách phát hành cổ tức bằng cổ phiếu từ nguồn thăng dư vốn cổ phần (Thuyết minh 24),1.289.552.240.000,(1.289.552.240.000),-,-,1289552240000.0,-1289552240000.0,,
Cổ tức bằng tiền (Thuyết minh 25),Cổ tức bằng tiền (Thuyết minh 25),Cổ tức bằng tiền (Thuyết minh 25),-,-,(967.164.180.000),(967.164.180.000),,,-967164180000.0,-967164180000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.816.779.162.771,1.816.779.162.771,,,1816779162771.0,1816779162771.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,4.513.432.840.000,245.949.492.805,921.587.387.741,5.680.969.720.546,4513432840000.0,245949492805.0,921587387741.0,5680969720546.0
