row_label_raw,row_label_full,col_0,Máy bay và các bộ phận VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Máy bay và các bộ phận VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.014.972.823.421,57.248.469.944,15.293.940.518,14.938.391.466,1.102.453.625.349,1014972823421.0,57248469944.0,15293940518.0,14938391466.0,1102453625349.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,3.070.846.745,3.103.636.999,6.174.483.744,,,3070846745.0,3103636999.0,6174483744.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,497.848.193.400,70.370.000.000,-,-,568.218.193.400,497848193400.0,70370000000.0,,,568218193400.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.512.821.016.821,127.618.469.944,18.364.787.263,18.042.028.465,1.676.846.302.493,1512821016821.0,127618469944.0,18364787263.0,18042028465.0,1676846302493.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.816.828.145,13.011.087.353,11.223.520.835,7.633.351.340,62.684.787.673,30816828145.0,13011087353.0,11223520835.0,7633351340.0,62684787673.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,77.672.093.630,8.780.555.539,1.205.822.066,2.964.522.481,90.622.993.716,77672093630.0,8780555539.0,1205822066.0,2964522481.0,90622993716.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,108.488.921.775,21.791.642.892,12.429.342.901,10.597.873.821,153.307.781.389,108488921775.0,21791642892.0,12429342901.0,10597873821.0,153307781389.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,984.155.995.276,44.237.382.591,4.070.419.683,7.305.040.126,1.039.768.837.676,984155995276.0,44237382591.0,4070419683.0,7305040126.0,1039768837676.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.404.332.095.046,105.826.827.052,5.935.444.362,7.444.154.644,1.523.538.521.104,1404332095046.0,105826827052.0,5935444362.0,7444154644.0,1523538521104.0
